PacketCounter_tibia,SampleTimeFine_tibia,Euler_X_tibia,Euler_Y_tibia,Euler_Z_tibia,FreeAcc_X_tibia,FreeAcc_Y_tibia,FreeAcc_Z_tibia,PacketCounter_femur,SampleTimeFine_femur,Euler_X_femur,Euler_Y_femur,Euler_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur
1,2343592535,-129.1051025,-73.20713043,-23.07704353,0.037263744,0.017127462,-0.009520531,1,2343592535,-143.0606995,-79.65719604,-60.20734024,0.022927288,-0.008366481,0.17833233
2,2343609202,-129.1227722,-73.19854736,-23.0568409,0.0719591,0.034623943,0.025515556,2,2343609202,-143.048233,-79.65664673,-60.21530914,0.08025731,-0.02144372,0.19215679
3,2343625869,-129.1142578,-73.19160461,-23.05579567,0.07704288,0.027878324,0.03631878,3,2343625869,-143.0562897,-79.65470886,-60.20476532,0.068723164,-0.051891606,0.16813087
4,2343642536,-129.098999,-73.19439697,-23.05635071,0.1125975,0.009853345,-0.008311272,4,2343642536,-143.0851898,-79.64942169,-60.1825943,0.014695628,-0.0681838,0.12450886
5,2343659203,-129.0953369,-73.19650269,-23.04601479,0.110519275,-0.019616056,-0.0593338,5,2343659203,-143.1151733,-79.6404953,-60.16570282,-0.009531836,-0.039453503,0.13758373
6,2343675870,-129.0937805,-73.19536591,-23.04325104,0.09817498,-0.06595107,-0.048841476,6,2343675870,-143.1432343,-79.63174438,-60.15196609,-0.004831987,-4.48E-04,0.18147278
7,2343692537,-129.0945129,-73.19580841,-23.0562439,0.048160575,-0.11237326,-0.027127266,7,2343692537,-143.1749573,-79.62265015,-60.13656616,0.006925353,0.017419035,0.18726254
8,2343709204,-129.1167145,-73.19606781,-23.07682037,0.01396977,-0.08179155,0.028004646,8,2343709204,-143.2089691,-79.61342621,-60.11467361,-5.92E-04,9.59E-04,0.18988991
9,2343725871,-129.1385498,-73.19927979,-23.11145401,-0.024183348,-0.057178304,0.07339764,9,2343725871,-143.2557831,-79.60572052,-60.08494949,-0.006275755,0.011052827,0.21499252
10,2343742538,-129.1409302,-73.21678925,-23.17827225,-0.06973448,0.024878891,0.049793243,10,2343742538,-143.3089447,-79.6016922,-60.05467224,-0.022917034,0.00545936,0.17711353
11,2343759205,-129.1452942,-73.23890686,-23.24203873,-0.12084678,0.09270871,-0.004030228,11,2343759205,-143.3663177,-79.59606934,-60.01979446,-0.034015402,0.034901604,0.16252518
