PacketCounter_femur,SampleTimeFine_femur,Euler_X_femur,Euler_Y_femur,Euler_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur,PacketCounter_tibia,SampleTimeFine_tibia,Euler_X_tibia,Euler_Y_tibia,Euler_Z_tibia,FreeAcc_X_tibia,FreeAcc_Y_tibia,FreeAcc_Z_tibia
1.0,1208023473.0,-112.57592009999999,-82.37860107,-74.09050751,-0.2929091,0.31640464,0.034710884,2,1208023473,-165.2764893,-79.0421524,0.42022892799999995,-0.0566195,-0.16416931,-0.070547104
2.0,1208040140.0,-112.73509979999999,-82.31668854,-73.92288971,-0.25272802,0.19358684,0.17250252,3,1208040140,-165.1854095,-79.07133484,0.298288971,-0.03763565,-0.08923721,0.041528699999999995
3.0,1208056807.0,-112.81680300000001,-82.25800323,-73.83943176,-0.2050431,0.034709956,0.30366707,4,1208056807,-165.0800934,-79.10644531,0.17491112600000003,-0.048476412999999996,0.004582351,0.024840355
4.0,1208073474.0,-112.84455870000001,-82.22724152,-73.80806732,-0.10745610000000001,-0.151469,0.29998302,5,1208073474,-164.970108,-79.14385986,0.076545507,-0.0864944,0.041848443,-0.018874168
5.0,1208090141.0,-112.8729706,-82.22655487,-73.75994873,0.004123165,-0.2524493,0.22895527,6,1208090141,-164.8330841,-79.18489838,-0.029133886,-0.11957499,0.012155696,-0.006399155
6.0,1208106808.0,-112.9511032,-82.24450684,-73.63031006,0.057877157,-0.20312932,0.15208817,7,1208106808,-164.69970700000002,-79.23444366,-0.11723861099999999,-0.11416934,0.0009699999999999999,-0.0028085709999999997
7.0,1208123475.0,-113.0688629,-82.26908875,-73.42734528,0.018411313999999998,-0.037042014,0.17241001,8,1208123475,-164.55548100000001,-79.28813934,-0.209839329,-0.081012875,-0.01562836,-0.028306007
8.0,1208140142.0,-113.11996459999999,-82.29658508,-73.28145599,-0.0877905,0.17563428,0.24558163,9,1208140142,-164.4031982,-79.34656525,-0.313756377,-0.036050934,-0.030220012999999997,-0.01725483
9.0,1208156809.0,-113.0218048,-82.32324982,-73.31063843,-0.18175453,0.32504099999999997,0.3093605,10,1208156809,-164.24563600000002,-79.40508270000001,-0.432768673,0.027595371,-0.039572354,0.021632195
10.0,1208173476.0,-112.7770996,-82.34429932,-73.51713562,-0.20823367,0.32940602,0.32600403,11,1208173476,-164.0903168,-79.46350861,-0.5641675,0.051719405,-0.001066324,0.017630576999999998
11.0,1208190143.0,-112.4663925,-82.36465454,-73.81570435,-0.12756874,0.23799509,0.27218723,12,1208190143,-163.9504089,-79.52037811,-0.6927858,0.038475595,0.032985818,-0.037849426
12.0,1208206810.0,-112.21099850000002,-82.38513947,-74.06241608,0.029097965,0.11249245,0.1836443,13,1208206810,-163.8264771,-79.57485199,-0.813163579,0.053027947,0.036334097,-0.058786392
13.0,1208223477.0,-112.03874209999998,-82.39408875,-74.20581818,0.18833528,-0.027373845,0.14727783,14,1208223477,-163.703598,-79.62396240000001,-0.9345349070000001,0.05284632,0.033309855,-5.15e-05
14.0,1208240144.0,-111.87574009999999,-82.39751434,-74.29914093,0.2697564,-0.09556933,0.15968037,15,1208240144,-163.5874786,-79.66931915,-1.047408223,0.04958429599999999,0.013714028999999999,0.009512900999999999
15.0,1208256811.0,-111.70590209999999,-82.40234375,-74.349823,0.29475704,-0.17407611,0.13154411,16,1208256811,-163.48847959999998,-79.71084595,-1.138388515,0.08617278,0.017954629,-0.031921387
16.0,1208273478.0,-111.56217959999998,-82.40266418,-74.34191132,0.27310073,-0.28061816,0.1997652,17,1208273478,-163.4085388,-79.74504852,-1.202656865,0.201499,0.097824804,-0.055603027
17.0,1208290145.0,-111.40158840000001,-82.4070282,-74.35175323,0.2493484,-0.34526086,0.2326107,18,1208290145,-163.37725830000002,-79.76750946,-1.2019687890000001,0.24020043,0.121127985,-0.10539913
18.0,1208306812.0,-111.2471848,-82.42451477,-74.400177,0.21778962,-0.44572538,0.23951626,19,1208306812,-163.38656619999998,-79.77513123,-1.155127048,0.29479954,0.09402995,-0.08153819999999999
19.0,1208323479.0,-111.0418472,-82.4593277,-74.56191254,0.19512878,-0.5185049,0.2682476,20,1208323479,-163.4475555,-79.77037811,-1.071074247,0.22907846,0.04143215,-0.038228035
20.0,1208340146.0,-110.7380219,-82.52153015,-74.87600708,0.20799579,-0.52119553,0.21543694,21,1208340146,-163.55647280000002,-79.75328064,-0.956537187,0.16294837,0.03578554,-0.05567074
21.0,1208356813.0,-110.366127,-82.59710693,-75.30622101,0.16544628,-0.40375698,0.15923977,22,1208356813,-163.695755,-79.7278595,-0.8285344240000001,0.110740945,-0.034674123,-0.058221817
22.0,1208373480.0,-109.99143980000001,-82.66666412,-75.77207184,0.06327603,-0.27127892,0.124619484,23,1208373480,-163.8422852,-79.69796753,-0.7183123229999999,0.07938991,-0.054186974000000006,-0.050359725999999994
23.0,1208390147.0,-109.66518400000001,-82.73178101,-76.19522858,-0.053131368,-0.11307698,0.10321045,24,1208390147,-163.99668880000002,-79.6673584,-0.6269299979999999,0.020320548,-0.0513611,-0.04406166
24.0,1208406814.0,-109.4625473,-82.79094696,-76.48242950000001,-0.11745072,0.024419282999999996,0.06734276,25,1208406814,-164.1570892,-79.63739777,-0.535048485,-0.03826834,-0.010656091999999999,-0.048804283
