sep=,
DeviceTag:,femurLeft,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.6.0,,,,,,,,,,,,,,,,,
AppVersion:,1.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Euler),,,,,,,,,,,,,,,,,
StartTime:,2021-03-10 17:04:33.797 +0800,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2021,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 2459457733, -145.84400939941406, -79.25338745117188, -60.84682846069336, 0.04383919, 0.006696951, 0.16651821
2, 2459474400, -145.8201141357422, -79.25138092041016, -60.847232818603516, -0.0056422492, -0.06632876, 0.15442276
3, 2459491067, -145.80133056640625, -79.24922180175781, -60.86109161376953, -0.048307158, -0.07814907, 0.17715073
4, 2459507734, -145.7779998779297, -79.24651336669922, -60.899818420410156, -0.053198375, -0.028749801, 0.18330479
5, 2459524401, -145.76019287109375, -79.24674987792969, -60.94562911987305, -0.038818628, 0.0458301, 0.16816711
6, 2459541068, -145.74945068359375, -79.24707794189453, -60.978824615478516, -0.015879715, 0.0826561, 0.17747688
7, 2459557735, -145.71563720703125, -79.24913787841797, -61.01728439331055, 0.023063883, 0.042945053, 0.18394947
8, 2459574402, -145.6782989501953, -79.25188446044922, -61.05216598510742, 0.046122402, 0.021430086, 0.20826721
9, 2459591069, -145.66220092773438, -79.25532531738281, -61.066139221191406, 0.024134565, -0.0014847406, 0.19426441
10, 2459607736, -145.65065002441406, -79.25900268554688, -61.075260162353516, 0.050807595, -0.006082402, 0.15493584
11, 2459624403, -145.6446990966797, -79.25935363769531, -61.0823974609375, 0.030317353, 0.01531047, 0.17176437
12, 2459641070, -145.64675903320312, -79.26213836669922, -61.08760070800781, 0.0045424537, 0.053361762, 0.192173
13, 2459657737, -145.64955139160156, -79.26664733886719, -61.093711853027344, -0.005240708, 0.020143714, 0.17956257
14, 2459674404, -145.66969299316406, -79.27272033691406, -61.08904266357422, -0.049604315, 0.0048863846, 0.17433834
15, 2459691071, -145.6781463623047, -79.27997589111328, -61.096405029296875, -0.008165236, 0.006506518, 0.1693821
16, 2459707738, -145.6785125732422, -79.28636169433594, -61.10742950439453, -0.00395129, -0.018283471, 0.18740654
17, 2459724405, -145.67100524902344, -79.2945556640625, -61.12270736694336, -0.0017133665, -0.0021481272, 0.1672821
18, 2459741072, -145.65838623046875, -79.30152893066406, -61.13652420043945, 5.097213E-4, 0.0063754837, 0.16376019
19, 2459757739, -145.6331787109375, -79.3074722290039, -61.154911041259766, -0.006153172, 0.0066452636, 0.17632103
20, 2459774406, -145.60440063476562, -79.31349182128906, -61.17730712890625, -0.0086162565, -0.006505512, 0.17891121
21, 2459791073, -145.5723114013672, -79.31905364990234, -61.208763122558594, -0.005899345, -0.026058314, 0.17636108
22, 2459807740, -145.55133056640625, -79.32489776611328, -61.23614501953125, 0.007954267, -0.050718497, 0.18608284
23, 2459824407, -145.5316162109375, -79.33110809326172, -61.27279281616211, 0.010364715, -0.04498349, 0.17554855
24, 2459841074, -145.5102081298828, -79.33708953857422, -61.312984466552734, 0.03931185, -0.013925527, 0.16626835
25, 2459857741, -145.4892120361328, -79.34078216552734, -61.34660720825195, 0.059767086, 0.02619231, 0.16925049
26, 2459874408, -145.46755981445312, -79.34505462646484, -61.36795425415039, 0.04972828, 0.004818157, 0.18923664
27, 2459891075, -145.45423889160156, -79.3475570678711, -61.37955856323242, 0.013886413, -0.00945823, 0.1857729
28, 2459907742, -145.44825744628906, -79.35073852539062, -61.38434600830078, -0.0022707798, 8.9299015E-4, 0.17567158
29, 2459924409, -145.44622802734375, -79.35273742675781, -61.3839225769043, -0.024348328, 0.022002, 0.18644047
30, 2459941076, -145.425048828125, -79.35567474365234, -61.39667510986328, -0.028176406, 0.060054634, 0.20463753
31, 2459957743, -145.38229370117188, -79.36209106445312, -61.422821044921875, -0.009124511, 0.07871976, 0.17781544
32, 2459974410, -145.33157348632812, -79.37012481689453, -61.44518280029297, -0.028952919, 0.027690573, 0.17005444
33, 2459991077, -145.2683868408203, -79.38116455078125, -61.48298645019531, -0.057474315, -0.04470935, 0.19261074
34, 2460007744, -145.18849182128906, -79.39395904541016, -61.55062484741211, -0.05858051, -0.08104915, 0.20895863
35, 2460024411, -145.1073760986328, -79.4062271118164, -61.637123107910156, -0.046858456, -0.0366792, 0.17817211
36, 2460041078, -145.03628540039062, -79.41661834716797, -61.71551513671875, 0.002562129, -0.023911137, 0.15263367
37, 2460057745, -144.9534912109375, -79.42526245117188, -61.79682540893555, 0.022738112, 0.02577652, 0.17559147
38, 2460074412, -144.86807250976562, -79.43253326416016, -61.86643981933594, 0.065949455, 0.009668053, 0.20426273
39, 2460091079, -144.793701171875, -79.4393081665039, -61.924285888671875, 0.045076974, -0.020428805, 0.18357944
40, 2460107746, -144.73712158203125, -79.44145202636719, -61.97092819213867, 0.051493336, -0.03750184, 0.15972614
41, 2460124413, -144.68260192871094, -79.44348907470703, -62.01547622680664, 0.06260671, -0.038661093, 0.18416786
42, 2460141080, -144.63853454589844, -79.4432601928711, -62.05607223510742, 0.040815532, -0.015035884, 0.16918755
43, 2460157747, -144.61033630371094, -79.44257354736328, -62.08161163330078, 0.0116580725, 0.01598777, 0.1555767
44, 2460174414, -144.57447814941406, -79.44160461425781, -62.11092758178711, -0.005692917, 0.05321592, 0.17549133
45, 2460191081, -144.5274658203125, -79.44283294677734, -62.13825988769531, -0.014796055, 0.054919314, 0.20196533
46, 2460207748, -144.47271728515625, -79.44540405273438, -62.16932678222656, -0.014624788, 0.00322708, 0.18902493
47, 2460224415, -144.41619873046875, -79.4473648071289, -62.20761489868164, -0.03580021, -0.017586783, 0.16570282
48, 2460241082, -144.3564453125, -79.45008850097656, -62.25143814086914, 0.01983345, -0.0337257, 0.20294571
49, 2460257749, -144.30592346191406, -79.45183563232422, -62.29152297973633, 0.08009645, -0.021421537, 0.1836319
50, 2460274416, -144.2794647216797, -79.45228576660156, -62.31019592285156, 0.079892054, 0.003593306, 0.21286201
51, 2460291083, -144.26254272460938, -79.45309448242188, -62.3183479309082, 0.09940953, 0.05750206, 0.2004652
52, 2460307750, -144.27334594726562, -79.45592498779297, -62.289337158203125, 0.03962189, 0.06554791, 0.17285633
53, 2460324417, -144.27865600585938, -79.4608383178711, -62.2630500793457, -0.016022205, 0.05974954, 0.12866974
54, 2460341084, -144.28321838378906, -79.46802520751953, -62.24884033203125, -0.11761998, -0.0027551884, 0.14157772
55, 2460357751, -144.277099609375, -79.48145294189453, -62.26873016357422, -0.19266261, -0.017257882, 0.18615723
56, 2460374418, -144.2451629638672, -79.50285339355469, -62.32688522338867, -0.1766978, 0.07246726, 0.19523144
57, 2460391085, -144.1657257080078, -79.53236389160156, -62.41766357421875, -0.16167311, 0.09176738, 0.20238876
