PacketCounter_femur,SampleTimeFine_femur,Euler_X_femur,Euler_Y_femur,Euler_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur
1,2343592535,-143.0606995,-79.65719604,-60.20734024,0.022927288,-0.008366481,0.17833233
2,2343609202,-143.048233,-79.65664673,-60.21530914,0.08025731,-0.02144372,0.19215679
3,2343625869,-143.0562897,-79.65470886,-60.20476532,0.068723164,-0.051891606,0.16813087
4,2343642536,-143.0851898,-79.64942169,-60.1825943,0.014695628,-0.0681838,0.12450886
5,2343659203,-143.1151733,-79.6404953,-60.16570282,-0.009531836,-0.039453503,0.13758373
6,2343675870,-143.1432343,-79.63174438,-60.15196609,-0.004831987,-4.48E-04,0.18147278
7,2343692537,-143.1749573,-79.62265015,-60.13656616,0.006925353,0.017419035,0.18726254
8,2343709204,-143.2089691,-79.61342621,-60.11467361,-5.92E-04,9.59E-04,0.18988991
9,2343725871,-143.2557831,-79.60572052,-60.08494949,-0.006275755,0.011052827,0.21499252
10,2343742538,-143.3089447,-79.6016922,-60.05467224,-0.022917034,0.00545936,0.17711353
11,2343759205,-143.3663177,-79.59606934,-60.01979446,-0.034015402,0.034901604,0.16252518
12,2343775872,-143.4132233,-79.59266663,-59.9892807,-0.04723949,0.07890667,0.16544247
13,2343792539,-143.4449921,-79.59194946,-59.96421051,-0.072531685,0.05173392,0.19563293
14,2343809206,-143.4645996,-79.59439087,-59.94394684,-0.06361232,-1.24E-04,0.18643475
15,2343825873,-143.4762573,-79.59883118,-59.93535995,-0.060443252,-0.006703489,0.17926598
16,2343842540,-143.4783936,-79.60473633,-59.9378891,-0.0489238,0.01844507,0.17030334
17,2343859207,-143.4662628,-79.61038971,-59.94259644,-0.022364818,0.058601297,0.18059921
18,2343875874,-143.4301453,-79.6144104,-59.94716263,-0.009376508,0.049113564,0.1859951
19,2343892541,-143.3851471,-79.61800385,-59.94833374,-0.028543806,7.82E-04,0.17658901
20,2343909208,-143.3381042,-79.62166595,-59.95029068,-0.023591653,-0.029717555,0.1599083
21,2343925875,-143.2926178,-79.62693787,-59.95587158,-0.002621639,-0.07055745,0.1483345
22,2343942542,-143.2479858,-79.62927246,-59.97209549,-0.005472701,-0.05460645,0.16402149
23,2343959209,-143.2036133,-79.63001251,-59.99619675,0.003561288,-0.053272694,0.17976761
24,2343975876,-143.1701813,-79.62840271,-60.02165985,0.014648159,-0.057510555,0.18708229
25,2343992543,-143.1415863,-79.62608337,-60.04916,0.014291908,-0.010566854,0.18817234
26,2344009210,-143.1185303,-79.62502289,-60.06201935,0.024450222,0.03241787,0.14678478
27,2344025877,-143.1038361,-79.61960602,-60.05096817,0.01316096,0.043917112,0.15445423
28,2344042544,-143.0849915,-79.61463928,-60.0445137,-0.042831227,-0.016913058,0.1648798
29,2344059211,-143.0536499,-79.61147308,-60.06406784,-0.08649416,-0.042101346,0.20631981
30,2344075878,-143.0139771,-79.61069489,-60.1085701,-0.058261182,-0.044969186,0.18583679
31,2344092545,-142.9755859,-79.61032104,-60.16585159,-0.01291036,-0.001850687,0.17928314
32,2344109212,-142.927124,-79.61092377,-60.22794724,-0.029609166,0.058009155,0.1418066
33,2344125879,-142.8695068,-79.6112442,-60.28453445,-0.018127069,0.041366324,0.1535263
34,2344142546,-142.7949982,-79.61175537,-60.35276794,-0.040896304,0.011308415,0.18826103
35,2344159213,-142.7201843,-79.61270905,-60.42594528,-0.049612205,-0.029994154,0.17590618
36,2344175880,-142.6325684,-79.61514282,-60.51639938,-0.02948337,-0.05628218,0.16869926
37,2344192547,-142.5520782,-79.61558533,-60.60340881,-0.008140342,-0.024995733,0.15956116
38,2344209214,-142.4749756,-79.6151886,-60.68791962,-9.64E-04,0.004505798,0.18571854
39,2344225881,-142.392334,-79.61180115,-60.76573563,0.031499248,0.021343755,0.18764877
40,2344242548,-142.3074951,-79.60749817,-60.84177017,0.052202288,0.007072453,0.19060326
41,2344259215,-142.2528076,-79.60066223,-60.89395142,0.030779593,-0.021656394,0.1550827
42,2344275882,-142.2167358,-79.59306335,-60.93832016,-0.007659775,-0.0498934,0.13964367
43,2344292549,-142.1894989,-79.58396912,-60.98954773,-0.022262253,-0.043730423,0.16529274
44,2344309216,-142.1508484,-79.57495117,-61.05892944,-0.01608131,-7.74E-04,0.21334553
45,2344325883,-142.1175537,-79.56728363,-61.12312317,0.003174219,0.053840358,0.20142174
46,2344342550,-142.1102905,-79.56161499,-61.1539917,0.020154694,0.073872656,0.16335869
47,2344359217,-142.0861969,-79.55659485,-61.19138718,0.023730231,0.059103474,0.14822769
48,2344375884,-142.0657501,-79.55119324,-61.22913742,-0.004523427,0.019640362,0.17560863
49,2344392551,-142.0652313,-79.54705811,-61.2481041,-0.006632663,0.03405499,0.20642376
50,2344409218,-142.0771484,-79.54549408,-61.25066376,0.006324998,0.055351865,0.18016815
51,2344425885,-142.0838776,-79.54537201,-61.24444962,0.041821312,0.09999193,0.17685413
52,2344442552,-142.0999451,-79.54464722,-61.21174622,0.05842049,0.08851091,0.16395855
53,2344459219,-142.1169128,-79.5426712,-61.16516495,0.019519052,0.051101096,0.16550732
54,2344475886,-142.1405182,-79.54177856,-61.1094017,-0.016391616,-0.02800377,0.17967033
55,2344492553,-142.1740723,-79.54150391,-61.06016922,-0.039065372,-0.009593902,0.19777012
56,2344509220,-142.2041016,-79.54242706,-61.02620316,-0.03172304,0.017819347,0.14746761
57,2344525887,-142.2396393,-79.54345703,-60.98720932,-0.010475884,0.055316944,0.14680195
58,2344542554,-142.2689819,-79.54351807,-60.94715118,-0.019322919,0.006369393,0.16561222
59,2344559221,-142.3053741,-79.54589844,-60.90081406,-0.049020246,-0.035695132,0.20623207
60,2344575888,-142.3472595,-79.55062866,-60.85756683,-0.032143496,-0.014565446,0.19629288
61,2344592555,-142.3937683,-79.55665588,-60.81272125,0.015382567,0.036517937,0.15048122
62,2344609222,-142.4402161,-79.56118011,-60.76159668,-0.002596452,0.066853784,0.18026638
63,2344625889,-142.4762726,-79.56602478,-60.71403885,-0.026102904,0.05911476,0.19680023
64,2344642556,-142.522644,-79.57411957,-60.65921783,-0.048158564,0.015370595,0.17225075
65,2344659223,-142.5722809,-79.58242035,-60.60872269,-0.05985835,-0.02190019,0.15523243
66,2344675890,-142.616684,-79.59060669,-60.57362747,-0.05137427,-0.001227198,0.17251682
67,2344692557,-142.6641541,-79.60102844,-60.53617096,-0.03652572,0.051179886,0.16761875
68,2344709224,-142.7049408,-79.61115265,-60.49304581,-0.015441742,0.08117331,0.1737585
69,2344725891,-142.7433472,-79.62322235,-60.4370575,-0.01616823,0.0420063,0.1765995
70,2344742558,-142.7760773,-79.63584137,-60.38799286,-0.048650153,-0.02030196,0.1709156
71,2344759225,-142.802536,-79.64793396,-60.35664749,-0.056121897,-0.06357485,0.19147015
72,2344775892,-142.8316956,-79.66062164,-60.33259201,-0.033459723,-0.035952672,0.20715523
73,2344792559,-142.848465,-79.67488098,-60.32804871,-0.007874766,0.008916714,0.19193459
74,2344809226,-142.8766327,-79.68807983,-60.31597519,-0.005257151,0.005675609,0.11966324
75,2344825893,-142.9120789,-79.69879913,-60.30023575,-0.018373715,-0.020342194,0.12514019
76,2344842560,-142.9422913,-79.7091217,-60.29029083,-0.012461811,-0.018953117,0.1730957
77,2344859227,-142.9726257,-79.71797943,-60.27913666,-0.024672087,-0.019758936,0.21607494
78,2344875894,-142.9919128,-79.72767639,-60.27710342,-0.025383249,0.014528734,0.19857693
79,2344892561,-142.9991913,-79.73747253,-60.27824402,-0.028030746,0.016063485,0.17307758
80,2344909228,-142.9976196,-79.74567413,-60.28279114,-0.0498057,0.029836632,0.1565609
81,2344925895,-142.9896851,-79.75495148,-60.28977966,-0.043047395,0.014185473,0.16238403
82,2344942562,-142.955719,-79.76599884,-60.32453156,-0.0873291,-0.031902786,0.20314884
83,2344959229,-142.9065857,-79.77613068,-60.3819809,-0.058244556,-0.031098364,0.22030449
84,2344975896,-142.8486481,-79.78781891,-60.45095825,-0.011762761,-0.004598612,0.18540287
85,2344992563,-142.7959595,-79.79776001,-60.51874161,0.009755139,0.01650984,0.1546526
86,2345009230,-142.7595825,-79.80509186,-60.56244278,0.04070622,-0.019942775,0.13756275
87,2345025897,-142.7249603,-79.80930328,-60.60250092,0.042548332,-0.0354667,0.16307735
88,2345042564,-142.711319,-79.80953217,-60.61916733,0.063273095,-0.025709521,0.16336155
89,2345059231,-142.7081146,-79.80834961,-60.62216568,0.077848375,-0.034093827,0.16543579
90,2345075898,-142.7290649,-79.80265808,-60.59638214,0.10813124,-0.020654218,0.16845322
91,2345092565,-142.7705078,-79.79444122,-60.55015945,0.10052403,-0.021188246,0.17191505
92,2345109232,-142.8431091,-79.78366089,-60.48278046,0.016884197,-0.039287988,0.15118217
93,2345125899,-142.9348907,-79.77285767,-60.40756607,-0.07289173,-0.018401207,0.13786983
94,2345142566,-143.0076141,-79.76042175,-60.35275269,-0.10739034,0.017545432,0.16397285
95,2345159233,-143.0379944,-79.75251007,-60.33815765,-0.0952319,0.04981936,0.21853447
96,2345175900,-143.0496979,-79.74893951,-60.33584976,-0.090085246,0.077328496,0.2108612
97,2345192567,-143.0348816,-79.74974823,-60.33895111,-0.091078654,0.10441005,0.17299175
98,2345209234,-142.9868164,-79.75435638,-60.36524582,-0.106043026,0.0901326,0.19574165
99,2345225901,-142.9155426,-79.76039886,-60.40455627,-0.078693114,0.049816567,0.1911726
100,2345242568,-142.8374481,-79.76863098,-60.44733047,-0.05159484,0.029474486,0.16352081
101,2345259235,-142.7601929,-79.77726746,-60.49225235,0.00462616,-0.008149617,0.17102242
102,2345275902,-142.692688,-79.78500366,-60.53700638,0.01467593,-0.061141465,0.1979475
103,2345292569,-142.6325684,-79.79413605,-60.58917999,0.007675756,-0.06665268,0.18511009
104,2345309236,-142.605484,-79.80229187,-60.62536621,0.01246617,-0.07695082,0.15949917
105,2345325903,-142.5963287,-79.80916595,-60.65176773,0.02733636,-0.026650567,0.13200092
106,2345342570,-142.5829468,-79.81155396,-60.673069,0.03312501,-0.007948959,0.14861298
107,2345359237,-142.5658417,-79.81008911,-60.691185,0.049316626,-0.003048549,0.18336678
108,2345375904,-142.5696564,-79.80838776,-60.68750763,0.013539884,-0.047287967,0.16191673
109,2345392571,-142.5820923,-79.80516815,-60.6843605,-0.03106418,-0.02718007,0.17100334
110,2345409238,-142.5944824,-79.8015976,-60.68574524,-0.035460737,-0.006871626,0.17695522
111,2345425905,-142.5957794,-79.79718018,-60.6995163,-0.021016756,0.029918214,0.18939781
112,2345442572,-142.5952606,-79.79404449,-60.71231079,-0.010117691,0.0466742,0.17153263
113,2345459239,-142.5921478,-79.79026031,-60.71061707,0.019392949,0.0658448,0.20346165
114,2345475906,-142.592514,-79.78726196,-60.70068359,-0.01714621,0.02709698,0.18673325
115,2345492573,-142.6029053,-79.78770447,-60.68699646,-0.06399514,-0.020788549,0.16880989
116,2345509240,-142.6062469,-79.78779602,-60.68839645,-0.09093207,-0.018224688,0.16754627
117,2345525907,-142.5881958,-79.78827667,-60.72320938,-0.072373845,-0.023060614,0.17487717
118,2345542574,-142.5615997,-79.7897644,-60.77285767,-0.059055742,0.01263664,0.17186737
119,2345559241,-142.5264893,-79.79332733,-60.82112122,-0.018369524,0.04291376,0.17686844
120,2345575908,-142.4770355,-79.79734039,-60.86738968,0.00489735,0.0804422,0.19680882
121,2345592575,-142.4246979,-79.80231476,-60.90703201,0.008340931,0.06274657,0.20023346
122,2345609242,-142.3785248,-79.80643463,-60.93482208,0.013512839,-0.006135989,0.16991806
123,2345625909,-142.3399811,-79.80879211,-60.95946503,0.05210534,-0.05846786,0.1587286
124,2345642576,-142.3256836,-79.80818176,-60.97367859,0.030951865,-0.064746395,0.1488514
125,2345659243,-142.3255157,-79.80484009,-60.98163605,0.017504683,-0.018306047,0.1617899
126,2345675910,-142.3243256,-79.80117035,-60.98953247,0.022585258,0.002705066,0.17645264
