PacketCounter_femur,SampleTimeFine_femur,Euler_X_femur,Euler_Y_femur,Euler_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur
1,1208023473,-112.5759201,-82.37860107,-74.09050751,-0.2929091,0.31640464,0.034710884
2,1208040140,-112.7350998,-82.31668854,-73.92288971,-0.25272802,0.19358684,0.17250252
3,1208056807,-112.816803,-82.25800323,-73.83943176,-0.2050431,0.034709956,0.30366707
4,1208073474,-112.8445587,-82.22724152,-73.80806732,-0.1074561,-0.151469,0.29998302
5,1208090141,-112.8729706,-82.22655487,-73.75994873,0.004123165,-0.2524493,0.22895527
6,1208106808,-112.9511032,-82.24450684,-73.63031006,0.057877157,-0.20312932,0.15208817
7,1208123475,-113.0688629,-82.26908875,-73.42734528,0.018411314,-0.037042014,0.17241001
8,1208140142,-113.1199646,-82.29658508,-73.28145599,-0.0877905,0.17563428,0.24558163
9,1208156809,-113.0218048,-82.32324982,-73.31063843,-0.18175453,0.325041,0.3093605
10,1208173476,-112.7770996,-82.34429932,-73.51713562,-0.20823367,0.32940602,0.32600403
11,1208190143,-112.4663925,-82.36465454,-73.81570435,-0.12756874,0.23799509,0.27218723
12,1208206810,-112.2109985,-82.38513947,-74.06241608,0.029097965,0.11249245,0.1836443
13,1208223477,-112.0387421,-82.39408875,-74.20581818,0.18833528,-0.027373845,0.14727783
14,1208240144,-111.8757401,-82.39751434,-74.29914093,0.2697564,-0.09556933,0.15968037
15,1208256811,-111.7059021,-82.40234375,-74.349823,0.29475704,-0.17407611,0.13154411
16,1208273478,-111.5621796,-82.40266418,-74.34191132,0.27310073,-0.28061816,0.1997652
17,1208290145,-111.4015884,-82.4070282,-74.35175323,0.2493484,-0.34526086,0.2326107
18,1208306812,-111.2471848,-82.42451477,-74.400177,0.21778962,-0.44572538,0.23951626
19,1208323479,-111.0418472,-82.4593277,-74.56191254,0.19512878,-0.5185049,0.2682476
20,1208340146,-110.7380219,-82.52153015,-74.87600708,0.20799579,-0.52119553,0.21543694
21,1208356813,-110.366127,-82.59710693,-75.30622101,0.16544628,-0.40375698,0.15923977
22,1208373480,-109.9914398,-82.66666412,-75.77207184,0.06327603,-0.27127892,0.124619484
23,1208390147,-109.665184,-82.73178101,-76.19522858,-0.053131368,-0.11307698,0.10321045
24,1208406814,-109.4625473,-82.79094696,-76.4824295,-0.11745072,0.024419283,0.06734276
25,1208423481,-109.3614883,-82.83004761,-76.65174103,-0.13771659,0.15837821,0.0479002
26,1208440148,-109.2577133,-82.84368896,-76.80584717,-0.12442887,0.29585782,0.03719139
27,1208456815,-109.1794586,-82.82987976,-76.9262085,-0.12746239,0.33195227,0.050865173
28,1208473482,-109.2125244,-82.80810547,-76.93145752,-0.11440112,0.28612274,0.08808899
29,1208490149,-109.3883667,-82.79072571,-76.78918457,-0.089708336,0.16316915,0.035629272
30,1208506816,-109.7308807,-82.75606537,-76.4833374,-0.040166024,-0.004521569,-0.04456997
31,1208523483,-110.18396,-82.68217468,-76.08193207,0.010072853,-0.1332111,-0.00863266
32,1208540150,-110.6772842,-82.58171844,-75.66204834,0.09018735,-0.2521364,0.04510498
33,1208556817,-111.2387314,-82.47605896,-75.19570923,0.15286873,-0.3807931,0.081264496
34,1208573484,-111.861702,-82.37404633,-74.6869278,0.19062193,-0.46926948,0.17351913
35,1208590151,-112.4858932,-82.28912354,-74.18999481,0.21642749,-0.50660235,0.224329
36,1208606818,-113.1360016,-82.22118378,-73.67899323,0.23473294,-0.49419227,0.25416183
37,1208623485,-113.7228088,-82.16667175,-73.24459839,0.23136759,-0.33032224,0.38066578
38,1208640152,-114.1334152,-82.13912964,-72.99184418,0.24117425,-0.081366815,0.464118
39,1208656819,-114.3728027,-82.14629364,-72.89888,0.28664586,0.14049633,0.45961475
40,1208673486,-114.4995728,-82.19430542,-72.87944794,0.27411237,0.3179223,0.3960333
41,1208690153,-114.4981689,-82.27558899,-72.92169952,0.17931959,0.44514203,0.27179718
42,1208706820,-114.3129578,-82.35401917,-73.07494354,0.004081228,0.6240197,0.16552448
43,1208723487,-114.0148468,-82.40319824,-73.27996826,-0.23178324,0.77203476,0.09845829
44,1208740154,-113.7957611,-82.41446686,-73.37241364,-0.45307252,0.76385003,0.067344666
45,1208756821,-113.6815872,-82.38467407,-73.34786224,-0.6239657,0.6355136,0.10971832
46,1208773488,-113.5876923,-82.3253479,-73.30382538,-0.63451743,0.41392812,0.14822483
47,1208790155,-113.4886475,-82.25782776,-73.2748642,-0.5200282,0.11059457,0.16244984
48,1208806822,-113.4504852,-82.20326233,-73.19774628,-0.3449437,-0.21357295,0.16154003
49,1208823489,-113.4637375,-82.174263,-73.09168243,-0.21137322,-0.4075773,0.18704414
50,1208840156,-113.4789581,-82.17015839,-73.01858521,-0.119814746,-0.40591735,0.18293571
51,1208856823,-113.5236282,-82.17825317,-72.96098328,-0.11034478,-0.30272886,0.15861797
52,1208873490,-113.6767197,-82.18739319,-72.84329224,-0.12154575,-0.16705647,0.14824867
53,1208890157,-113.8832703,-82.19397736,-72.71968842,-0.16853826,-0.029393839,0.2139883
54,1208906824,-113.9787216,-82.20900726,-72.74513245,-0.18124355,0.08033898,0.28650856
55,1208923491,-113.863266,-82.23888397,-72.99991608,-0.17119427,0.17237593,0.2839222
56,1208940158,-113.5246582,-82.2806015,-73.46894073,-0.075908326,0.25043362,0.2946415
57,1208956825,-112.9906845,-82.3252182,-74.11659241,-0.018578006,0.2521015,0.24854946
58,1208973492,-112.4186935,-82.36959076,-74.77837372,0.03965699,0.22960083,0.13402271
59,1208990159,-112.0433044,-82.39847565,-75.20066071,0.06247556,0.19730283,0.026583672
60,1209006826,-111.9429398,-82.40167999,-75.29923248,0.037379727,0.13542224,-0.001234055
61,1209023493,-112.0833588,-82.3736496,-75.12231445,0.0671201,0.071877226,0.09743023
62,1209040160,-112.1926727,-82.33794403,-74.97647095,0.22750472,-0.059402864,0.19991589
63,1209056827,-112.033165,-82.31356812,-75.11276245,0.3277261,-0.21492189,0.22004604
64,1209073494,-111.6402664,-82.30381775,-75.47582245,0.35055378,-0.29759473,0.15781021
65,1209090161,-111.4049149,-82.29393005,-75.67578125,0.29630905,-0.35964325,0.094080925
66,1209106828,-111.5550613,-82.2869339,-75.4909668,0.28494152,-0.41424367,0.12850666
67,1209123495,-111.8858871,-82.29449463,-75.11521149,0.2813977,-0.41861272,0.20831776
68,1209140162,-112.1409073,-82.30262756,-74.80049133,0.24283364,-0.24196708,0.21849251
69,1209156829,-112.1690445,-82.30915833,-74.72950745,0.21734014,-0.011896098,0.212224
70,1209173496,-112.1349792,-82.31497192,-74.7419281,0.17448826,0.13408822,0.18251419
71,1209190163,-112.238678,-82.31584167,-74.60974884,0.03203021,0.17058945,0.1656332
72,1209206830,-112.3314896,-82.31034851,-74.4712677,-0.06877349,0.18071786,0.22708797
73,1209223497,-112.2919464,-82.30274963,-74.44885254,-0.11614273,0.17414005,0.24403381
74,1209240164,-112.184433,-82.29943848,-74.46679688,-0.11840473,0.16212031,0.18696499
75,1209256831,-112.1084747,-82.29261017,-74.41680908,-0.08093281,0.16090734,0.11284351
76,1209273498,-112.13237,-82.27890015,-74.23192596,-0.06279999,0.18877335,0.11030388
77,1209290165,-112.2171783,-82.26020813,-73.96739197,-0.06867744,0.19040532,0.1441164
78,1209306832,-112.342392,-82.23919678,-73.66201019,-0.07546367,0.128595,0.14290524
79,1209323499,-112.4749374,-82.21177673,-73.36923981,-0.090016164,0.035901323,0.15687752
80,1209340166,-112.5941772,-82.18121338,-73.11930847,-0.11791846,-0.008527061,0.17456245
81,1209356833,-112.6845474,-82.15386963,-72.92813873,-0.12427168,-0.06759846,0.1639328
82,1209373500,-112.7583771,-82.132164,-72.77024841,-0.09497692,-0.100923285,0.20639896
83,1209390167,-112.7891998,-82.1239624,-72.66252136,-0.062681094,-0.07213022,0.25341034
84,1209406834,-112.7483826,-82.12937164,-72.62652588,-0.028487775,-0.050295673,0.2760725
85,1209423501,-112.6541824,-82.14992523,-72.64516449,-0.05355451,0.008987637,0.2673788
86,1209440168,-112.534584,-82.18212128,-72.69216156,-0.04143669,0.06693003,0.2494173
87,1209456835,-112.4061584,-82.22107697,-72.75266266,-0.07816033,0.12392243,0.20488167
88,1209473502,-112.3001633,-82.26450348,-72.79870605,-0.08784572,0.18176194,0.16893005
89,1209490169,-112.2103348,-82.30517578,-72.83430481,-0.095438376,0.20242412,0.15242767
90,1209506836,-112.0935364,-82.33538055,-72.88778687,-0.112844355,0.18902983,0.15809822
91,1209523503,-111.9192276,-82.34873199,-72.98760223,-0.08833075,0.16500942,0.15465832
92,1209540170,-111.7374191,-82.34996796,-73.09087372,-0.0898476,0.09205532,0.16584587
93,1209556837,-111.6494598,-82.35055542,-73.10068512,-0.046023138,-0.02147574,0.13254356
94,1209573504,-111.6812515,-82.35394287,-72.99269867,0.004767224,-0.14616495,0.10733795
95,1209590171,-111.7932968,-82.36120605,-72.81212616,0.05171124,-0.23995861,0.10529423
96,1209606838,-111.8787689,-82.36629486,-72.67027283,0.0777487,-0.2626942,0.1025877
97,1209623505,-111.933075,-82.36704254,-72.58782959,0.09103536,-0.2428811,0.12401104
98,1209640172,-112.0340881,-82.36439514,-72.49558258,0.074684635,-0.20598665,0.13203621
99,1209656839,-112.2007065,-82.36223602,-72.37996674,0.08410437,-0.1948676,0.1737051
100,1209673506,-112.3625565,-82.36238861,-72.30670929,0.067799725,-0.17954545,0.2794428
101,1209690173,-112.4773865,-82.37849426,-72.30072784,0.0511551,-0.13440938,0.28738213
102,1209706840,-112.5839462,-82.41433716,-72.3042984,0.075110726,-0.06751875,0.2222786
103,1209723507,-112.6798172,-82.45363617,-72.29943848,0.06415924,0.01116867,0.18742752
104,1209740174,-112.7061386,-82.48947906,-72.32822418,0.04682495,0.11159281,0.17198944
105,1209756841,-112.6593323,-82.51557159,-72.39387512,0.02367909,0.18802446,0.126441
106,1209773508,-112.6392212,-82.52577209,-72.40341949,-0.022323288,0.20979948,0.09710121
107,1209790175,-112.646347,-82.51982117,-72.36417389,-0.064108856,0.19162694,0.15290356
108,1209806842,-112.6185226,-82.51056671,-72.34265137,-0.1118479,0.15429932,0.19717312
109,1209823509,-112.5215225,-82.50315094,-72.37864685,-0.11732764,0.09939823,0.19858551
110,1209840176,-112.4145584,-82.4954071,-72.4238205,-0.08255766,0.010061136,0.1609745
111,1209856843,-112.3404083,-82.48579407,-72.4367218,-0.07042318,-0.121977165,0.12508774
112,1209873510,-112.3495407,-82.45678711,-72.36519623,-0.092856325,-0.28761527,0.12433338
113,1209890177,-112.2753906,-82.45420837,-72.39988708,-0.10797182,-0.13117054,0.17286015
114,1209906844,-112.6485291,-82.46154785,-72.08985138,0.13819654,-0.14122312,0.17648697
115,1209923511,-113.0593262,-82.4664917,-71.76870728,0.12552746,-0.08665923,0.28244114
116,1209940178,-113.131813,-82.48085785,-71.75553131,0.042961996,-0.04874703,0.26086712
117,1209956845,-112.9934692,-82.49321747,-71.94065094,0.014679783,-0.01751486,0.18747139
118,1209973512,-112.8444519,-82.50074768,-72.15528107,0.005226621,0.00148129,0.15280342
119,1209990179,-112.8408356,-82.51069641,-72.25205231,0.043883268,0.012378385,0.19000435
120,1210006846,-112.945137,-82.52748108,-72.24656677,0.02681617,0.013099319,0.16427708
121,1210023513,-113.0453186,-82.53675842,-72.23177338,0.043595623,-0.014749724,0.107910156
122,1210040180,-113.1242752,-82.52947998,-72.20947266,0.03603258,-0.014172775,0.12587452
123,1210056847,-113.1975327,-82.51982117,-72.17842102,-0.007921406,-0.004433491,0.20500755
124,1210073514,-113.256546,-82.52523041,-72.16619873,-0.043007705,-0.03566789,0.2619171
125,1210090181,-113.2292023,-82.54580688,-72.23892212,-0.06251021,-0.026555857,0.24973488
126,1210106848,-113.1096115,-82.57357788,-72.39160156,-0.10115321,8.77E-04,0.17774868
127,1210123515,-112.9325409,-82.5982132,-72.58460236,-0.07247576,0.022752305,0.12565517
128,1210140182,-112.7785263,-82.61682129,-72.75353241,-0.03364055,0.06475597,0.13287163
129,1210156849,-112.6819382,-82.63148499,-72.86846161,0.006685035,0.1733916,0.19027042
130,1210173516,-112.6235886,-82.64814758,-72.94096375,-0.035471436,0.20934252,0.19633865
131,1210190183,-112.5902252,-82.66139221,-72.97444916,-0.040251542,0.21382393,0.19351864
132,1210206850,-112.5225677,-82.67113495,-73.01702118,-0.03277613,0.16391161,0.20054913
133,1210223517,-112.3865814,-82.68112183,-73.1107254,0.003015596,0.0899324,0.21691513
134,1210240184,-112.1687546,-82.69379425,-73.28829193,0.042589244,0.024278438,0.19456959
135,1210256851,-111.9432144,-82.7028656,-73.48230743,0.025712905,-0.030521233,0.14473534
136,1210273518,-111.7736664,-82.70806122,-73.6214447,-0.024570705,-0.114925586,0.13192463
137,1210290185,-111.6814346,-82.7108078,-73.67880249,-0.07195182,-0.16861181,0.15180111
138,1210306852,-111.6830521,-82.71508789,-73.63607025,-0.105829634,-0.19700252,0.15750027
139,1210323519,-111.7117996,-82.7223053,-73.56529236,-0.069148645,-0.15966679,0.14470005
140,1210340186,-111.7495193,-82.72875214,-73.48934174,-0.012520995,-0.087531224,0.13789558
141,1210356853,-111.7848434,-82.73196411,-73.42834473,0.015146102,-0.008801808,0.13521194
142,1210373520,-111.7578049,-82.7336731,-73.45012665,0.05836542,0.040730905,0.16972256
143,1210390187,-111.6449585,-82.7332077,-73.5839386,0.0500793,0.07964602,0.17346573
144,1210406854,-111.5207977,-82.73034668,-73.74654388,0.059103575,0.04696962,0.16435242
145,1210423521,-111.5040665,-82.72244263,-73.80084229,0.03659661,0.019949049,0.16065693
146,1210440188,-111.6268692,-82.7114563,-73.70378113,-0.004782381,0.003216233,0.19859791
147,1210456855,-111.7691879,-82.70580292,-73.56726074,-0.01253345,-0.012516698,0.22539425
148,1210473522,-111.8512802,-82.70962524,-73.48283386,-0.009764337,-0.033367533,0.23488903
149,1210490189,-111.8106308,-82.71753693,-73.5223465,0.017914064,-0.007733904,0.19026661
150,1210506856,-111.7069778,-82.72589874,-73.63154602,0.045205124,0.002255253,0.14979076
151,1210523523,-111.6189957,-82.73096466,-73.72476196,0.07258802,0.008872018,0.16843224
152,1210540190,-111.5699463,-82.73625946,-73.77371979,0.045821264,0.007234751,0.18823624
153,1210556857,-111.5283966,-82.74585724,-73.80744171,0.042975605,0.008282454,0.17374325
154,1210573524,-111.5135269,-82.75380707,-73.81138611,0.002255886,0.020599185,0.17155075
155,1210590191,-111.5406036,-82.7589035,-73.77431488,-0.038191088,0.065071315,0.14565945
156,1210606858,-111.587059,-82.75904083,-73.72920227,-0.08019168,0.040476944,0.14725018
157,1210623525,-111.6262665,-82.75540924,-73.70455933,-0.099271774,-0.01378359,0.17239094
158,1210640192,-111.615036,-82.75481415,-73.74373627,-0.103126734,-0.025545761,0.20478153
159,1210656859,-111.5654221,-82.76229095,-73.82723236,-0.08795979,-0.051088087,0.20022011
160,1210673526,-111.5216522,-82.77379608,-73.90215302,-0.044716135,-0.00692163,0.18423176
161,1210690193,-111.5024414,-82.7798233,-73.95107269,0.001685743,0.037498273,0.15634537
162,1210706860,-111.5314636,-82.78275299,-73.94650269,0.035392787,0.057435594,0.14683056
163,1210723527,-111.5926132,-82.78406525,-73.90093994,0.0673391,0.03347735,0.17014694
164,1210740194,-111.6292648,-82.78430939,-73.86912537,0.0853906,-0.009564008,0.16915417
165,1210756861,-111.6077957,-82.78251648,-73.88951111,0.057246696,-0.027304143,0.17257214
166,1210773528,-111.5715408,-82.7793045,-73.92192841,0.038822062,-0.027342092,0.17153263
167,1210790195,-111.559639,-82.77710724,-73.9274826,0.022363232,-0.025858674,0.1934948
168,1210806862,-111.5502625,-82.77832794,-73.93530273,0.004251523,-0.025807139,0.218956
