PacketCounter_femur,SampleTimeFine_femur,Euler_X_femur,Euler_Y_femur,Euler_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur
1,191960173,15.52087593,-15.8670826,-165.9657898,0.046279795,0.05493109,0.04819584
2,191976840,15.52199459,-15.86845589,-165.9647217,0.027694456,0.061383866,0.057401657
3,191993507,15.5231638,-15.86888981,-165.966568,0.05976067,0.045420486,0.07404423
4,192010174,15.52894592,-15.86924458,-165.9634247,0.079367146,0.03105422,0.06327438
5,192026841,15.53228378,-15.86902237,-165.9611511,0.086682856,-0.010148262,0.044477463
6,192043508,15.53192902,-15.86754036,-165.9583282,0.084996514,-0.026227163,0.05475235
7,192060175,15.53133774,-15.86837387,-165.9592896,0.07499629,-0.036931925,0.047024727
8,192076842,15.52950764,-15.87000084,-165.9605408,0.07412856,-0.008862051,0.054748535
9,192093509,15.52587032,-15.87166119,-165.961853,0.059029885,0.010262416,0.053355217
10,192110176,15.52457237,-15.87236214,-165.9629822,0.047815345,0.012884335,0.05368328
11,192126843,15.52598286,-15.87115669,-165.9630432,0.03578103,0.03190797,0.060832977
12,192143510,15.5205822,-15.86832428,-165.9652557,0.025820874,0.029331563,0.04708767
13,192160177,15.51427078,-15.86663532,-165.9650269,0.057240997,0.03354773,0.04841423
14,192176844,15.51034164,-15.86579514,-165.9652863,0.07495585,0.038832318,0.058398247
15,192193511,15.51057053,-15.86417961,-165.9639893,0.065409094,0.06417825,0.057789803
16,192210178,15.51266479,-15.86237049,-165.9620056,0.049736746,0.046157114,0.06529331
17,192226845,15.51442146,-15.86018085,-165.9569092,0.037728973,0.038359586,0.06352329
18,192243512,15.51874828,-15.85811806,-165.9529419,0.0614757,0.007339788,0.06999493
19,192260179,15.52750969,-15.85887623,-165.9542694,0.06547308,-0.021866413,0.05965233
20,192276846,15.52902412,-15.85904694,-165.9542694,0.0640082,-0.050782505,0.05203724
21,192293513,15.52734947,-15.85768795,-165.9560242,0.08337015,-0.054809164,0.071653366
22,192310180,15.52660656,-15.85597706,-165.9574585,0.0776287,-0.009871435,0.039712906
23,192326847,15.51909542,-15.85340691,-165.9565735,0.06384563,0.022268288,0.05597973
24,192343514,15.51313782,-15.8505125,-165.9550781,0.062102333,0.014076189,0.061917305
25,192360181,15.50694275,-15.8494339,-165.9554291,0.06274988,0.015697664,0.0680666
26,192376848,15.50619125,-15.84988594,-165.9561005,0.07413696,0.02072799,0.07313919
27,192393515,15.50997353,-15.85191822,-165.9597931,0.056982253,0.010971902,0.052858353
28,192410182,15.50971699,-15.85224056,-165.962677,0.045817304,0.013379122,0.041635513
29,192426849,15.50559044,-15.84981918,-165.9611359,0.051119633,0.049626064,0.02775383
30,192443516,15.50242233,-15.84527779,-165.9597778,0.042624634,0.058234904,0.050387383
31,192460183,15.50602055,-15.84369278,-165.958252,0.04672889,0.030480476,0.061076164
32,192476850,15.51139355,-15.84333229,-165.9547729,0.047091093,0.051716387,0.05130005
33,192493517,15.50950909,-15.84139633,-165.9488678,0.062001333,0.003822714,0.06966972
34,192510184,15.50733185,-15.83844757,-165.9411163,0.06532155,0.006746948,0.050543785
35,192526851,15.50479984,-15.83553982,-165.9347839,0.04833064,-0.013791531,0.052028656
36,192543518,15.50487137,-15.8346653,-165.9345245,0.07607354,-0.024504969,0.07936287
37,192560185,15.50670147,-15.83762932,-165.9396057,0.09171084,-0.054412205,0.076743126
38,192576852,15.50545692,-15.83964252,-165.9446259,0.07370998,-0.0495369,0.06247425
39,192593519,15.50405788,-15.83882809,-165.9515533,0.062475644,-0.007304166,0.049907684
40,192610186,15.50167274,-15.83669662,-165.9566956,0.049678843,0.048463408,0.042627335
41,192626853,15.49997044,-15.83437634,-165.9584656,0.043895375,0.053718407,0.039696693
42,192643520,15.49623108,-15.8319416,-165.9571686,0.04849636,0.04851755,0.0655241
43,192660187,15.49544239,-15.82955647,-165.9545593,0.065220915,0.07932054,0.058401108
44,192676854,15.50016308,-15.8287077,-165.9510193,0.033043876,0.056202024,0.06495762
45,192693521,15.50607967,-15.8267231,-165.9469757,0.043760944,0.039663784,0.05986309
46,192710188,15.51188564,-15.82651997,-165.9429016,0.04845022,0.014582236,0.06540203
47,192726855,15.516469,-15.82737923,-165.9418335,0.053955734,-0.051726,0.0630703
48,192743522,15.51544762,-15.82614231,-165.9455261,0.058734007,-0.08257046,0.049593925
49,192760189,15.51122856,-15.82585239,-165.9467926,0.06880703,-0.06050852,0.064665794
50,192776856,15.50819016,-15.8271122,-165.9485321,0.086526446,-0.06651171,0.073493004
51,192793523,15.50400162,-15.82766247,-165.9511719,0.08860591,-0.057039946,0.043902397
52,192810190,15.49535656,-15.82745743,-165.9538116,0.06186048,-0.001422269,0.060040474
53,192826857,15.48845673,-15.8283453,-165.9561462,0.059669018,0.035784286,0.07000351
54,192843524,15.48283195,-15.82879925,-165.957077,0.040060226,0.039321728,0.047979355
55,192860191,15.47957897,-15.82702351,-165.9568634,0.029649315,0.06613216,0.056173325
56,192876858,15.4772377,-15.82756996,-165.9568024,0.040371343,0.03902968,0.070581436
57,192893525,15.47287846,-15.82665539,-165.9567566,0.038674403,0.039012287,0.028749466
58,192910192,15.46953011,-15.82389545,-165.9536133,0.041934676,0.039983016,0.030673027
59,192926859,15.47320271,-15.82195282,-165.9506836,0.04197642,0.024259662,0.068556786
60,192943526,15.48122692,-15.81997013,-165.949646,0.04438928,-0.017230473,0.0489769
61,192960193,15.48476505,-15.81855392,-165.9483948,0.06605857,-0.057020154,0.06583786
62,192976860,15.48397732,-15.81751919,-165.9476776,0.067144886,-0.06220649,0.065434456
63,192993527,15.48356056,-15.81792927,-165.9504547,0.059180308,-0.048977863,0.05444908
64,193010194,15.48058128,-15.81730461,-165.9551849,0.060895223,-0.008997807,0.052357674
65,193026861,15.47752666,-15.81481171,-165.9584351,0.04912844,0.008100319,0.0488739
66,193043528,15.4738245,-15.81392002,-165.9597015,0.03643469,0.038603287,0.071593285
67,193060195,15.47309399,-15.81356144,-165.9627991,0.025807392,0.072988994,0.06699848
68,193076862,15.47227955,-15.81109428,-165.9650116,0.02419856,0.083640754,0.03860569
69,193093529,15.47432613,-15.81006432,-165.965683,0.03812459,0.07266476,0.050308228
70,193110196,15.48083782,-15.80684757,-165.9654388,0.040161617,0.06040404,0.040499687
71,193126863,15.48756886,-15.80238533,-165.9606781,0.054509766,0.027448704,0.05017948
72,193143530,15.4953022,-15.79871273,-165.9574585,0.0587123,-0.032981347,0.07737827
73,193160197,15.50080395,-15.79883575,-165.9549561,0.075814396,-0.083409995,0.054268837
74,193176864,15.50202274,-15.79948139,-165.9537354,0.074963644,-0.09117455,0.05626583
75,193193531,15.49984074,-15.80022049,-165.9548645,0.08088058,-0.08180779,0.06764507
76,193210198,15.49511719,-15.80012989,-165.9575806,0.055779308,-0.07600235,0.040091515
