PacketCounter_tibia,SampleTimeFine_tibia,Euler_X_tibia,Euler_Y_tibia,Euler_Z_tibia,FreeAcc_X_tibia,FreeAcc_Y_tibia,FreeAcc_Z_tibia
1,2343592535,-129.1051025,-73.20713043,-23.07704353,0.037263744,0.017127462,-0.009520531
2,2343609202,-129.1227722,-73.19854736,-23.0568409,0.0719591,0.034623943,0.025515556
3,2343625869,-129.1142578,-73.19160461,-23.05579567,0.07704288,0.027878324,0.03631878
4,2343642536,-129.098999,-73.19439697,-23.05635071,0.1125975,0.009853345,-0.008311272
5,2343659203,-129.0953369,-73.19650269,-23.04601479,0.110519275,-0.019616056,-0.0593338
6,2343675870,-129.0937805,-73.19536591,-23.04325104,0.09817498,-0.06595107,-0.048841476
7,2343692537,-129.0945129,-73.19580841,-23.0562439,0.048160575,-0.11237326,-0.027127266
8,2343709204,-129.1167145,-73.19606781,-23.07682037,0.01396977,-0.08179155,0.028004646
9,2343725871,-129.1385498,-73.19927979,-23.11145401,-0.024183348,-0.057178304,0.07339764
10,2343742538,-129.1409302,-73.21678925,-23.17827225,-0.06973448,0.024878891,0.049793243
11,2343759205,-129.1452942,-73.23890686,-23.24203873,-0.12084678,0.09270871,-0.004030228
12,2343775872,-129.1494446,-73.25591278,-23.29096794,-0.16313864,0.14750078,-0.04034424
13,2343792539,-129.1607056,-73.2637558,-23.31427193,-0.15837304,0.14757174,-0.0476017
14,2343809206,-129.1786804,-73.25933838,-23.31628227,-0.1826891,0.15026742,-0.010902405
15,2343825873,-129.1914368,-73.24793243,-23.30336952,-0.18119451,0.15052089,0.01369381
16,2343842540,-129.2049103,-73.23659515,-23.26377869,-0.12906761,0.12996194,-0.001527786
17,2343859207,-129.2063293,-73.22949982,-23.21652412,-0.07480409,0.057902597,0.002149582
18,2343875874,-129.1729279,-73.22568512,-23.179245,-0.04901061,0.021828722,0.01647377
19,2343892541,-129.1042786,-73.228302,-23.17389679,-0.010867479,-0.011686822,-0.001544952
20,2343909208,-129.0539246,-73.22839355,-23.15532875,0.02070828,-0.029115357,-0.030957222
21,2343925875,-129.0232239,-73.22229767,-23.12533379,0.03143967,-0.049567685,-0.008886337
22,2343942542,-128.9974518,-73.21456909,-23.09300804,0.046638217,-0.06453541,0.019569397
23,2343959209,-128.9729614,-73.21105957,-23.07694244,0.065426655,-0.08169644,0.023087502
24,2343975876,-128.9264374,-73.21791077,-23.09317589,0.055657633,-0.049554944,0.07247639
25,2343992543,-128.8578491,-73.23549652,-23.13805771,0.049181093,-0.03839159,0.049099922
27,2344025877,-128.7420807,-73.27693939,-23.22546196,0.0055144,-0.006560552,-0.09993744
28,2344042544,-128.708313,-73.27950287,-23.25998688,-0.024215141,-0.009430794,-0.055174828
30,2344075878,-128.6221466,-73.27625275,-23.36827469,-0.07254708,-0.070717044,0.014436722
32,2344109212,-128.5703583,-73.28842163,-23.45777321,-0.0500222,0.006888669,-0.024154663
34,2344142546,-128.5630646,-73.29098511,-23.47148705,-0.027043978,0.017275205,-0.039004326
36,2344175880,-128.541748,-73.26977539,-23.48911285,-0.022663208,0.015541079,-0.013142586
39,2344225881,-128.5195007,-73.24037933,-23.52216339,0.09518573,0.00154928,-0.00390625
41,2344259215,-128.5227203,-73.23693085,-23.53728867,0.07781478,0.008107038,-0.012420654
43,2344292549,-128.5383911,-73.24201202,-23.5795269,0.023990791,-0.01898318,-0.002325058
45,2344325883,-128.5134735,-73.2486496,-23.71957397,-0.080158785,0.004471377,-9.78E-04
46,2344342550,-128.5354614,-73.25468445,-23.75993347,-0.097911164,0.040262617,-0.016075134
50,2344409218,-128.6623993,-73.24578094,-23.75402641,-0.08336863,0.20505895,0.013674736
52,2344442552,-128.6070251,-73.2556076,-23.79277039,-0.09692497,0.1925581,0.016958237
54,2344475886,-128.5957642,-73.24945068,-23.73368835,-0.049247056,0.077360965,-2.93E-04
55,2344492553,-128.5812531,-73.24188232,-23.70357323,-0.03432656,0.021043409,0.015778542
57,2344525887,-128.5434875,-73.24562073,-23.67824745,0.044899296,-0.09204688,-0.032263756
61,2344592555,-128.4858856,-73.27902985,-23.74781418,-0.073086224,0.023827488,0.056570053
63,2344625889,-128.5201111,-73.32709503,-23.73030472,-0.12696964,0.1235726,-0.012070656
64,2344642556,-128.5094299,-73.34286499,-23.73457909,-0.12731527,0.1234338,-0.050811768
66,2344675890,-128.4689636,-73.3345871,-23.75486565,-0.078274965,0.02796337,-0.00829792
68,2344709224,-128.442337,-73.33206177,-23.76051331,-0.014691549,-0.049565405,0.03319931
70,2344742558,-128.4102325,-73.36448669,-23.78680611,-0.04856568,-0.02023284,-0.012516975
72,2344775892,-128.4151611,-73.38347626,-23.79243851,-0.051167704,-1.57E-04,-0.0138731
73,2344792559,-128.4271698,-73.38228607,-23.79226685,-0.041287117,-0.004580898,0.0160141
75,2344825893,-128.489563,-73.38410187,-23.75801468,0.072303034,-0.020348173,-0.023797035
77,2344859227,-128.487915,-73.40484619,-23.80245781,0.04950509,-0.048930004,-0.02128601
81,2344925895,-128.4560699,-73.45425415,-23.94202232,-0.11090568,-0.003350906,-0.02735138
82,2344942562,-128.4760742,-73.45182037,-23.91724396,-0.14738648,0.017377462,-0.030591011
84,2344975896,-128.5074463,-73.4311142,-23.84660721,-0.05340736,0.06453143,-0.02904129
86,2345009230,-128.6118317,-73.39476776,-23.71133614,0.13093582,0.06616051,-0.020832062
88,2345042564,-128.6926727,-73.36636353,-23.64758682,0.1995438,-0.012424415,8.33E-04
90,2345075898,-128.713974,-73.36252594,-23.67981911,0.12795179,0.00239483,0.070674896
91,2345092565,-128.7171173,-73.37440491,-23.72306252,0.06090812,1.28E-04,0.12129116
93,2345125899,-128.6504669,-73.43797302,-23.87784386,-0.093852445,0.03334746,-0.004964829
95,2345159233,-128.5341187,-73.48615265,-24.03763962,-0.23852001,0.063949406,-0.077604294
97,2345192567,-128.4715729,-73.47964478,-24.032547,-0.2222453,0.077157676,-0.034482956
99,2345225901,-128.4815063,-73.45884705,-23.88920975,-0.17080522,0.100153476,-0.006674767
100,2345242568,-128.5023346,-73.44728088,-23.81442451,-0.10879088,0.09712398,-0.06978226
102,2345275902,-128.5410156,-73.39009094,-23.69649887,0.06359332,-0.03692445,0.0067482
104,2345309236,-128.5789337,-73.34990692,-23.6195507,0.16292617,-0.1736271,0.086081505
106,2345342570,-128.5937347,-73.38926697,-23.63778114,0.10458368,-0.10401175,-0.036126137
108,2345375904,-128.5415955,-73.41547394,-23.75424385,-0.010920648,0.025030322,-0.009947777
109,2345392571,-128.5102539,-73.42032623,-23.8114109,-0.018903663,0.05592484,0.014639854
111,2345425905,-128.4522095,-73.43521118,-23.89705086,-0.064919785,0.103969954,0.001252174
115,2345492573,-128.3656769,-73.43730927,-23.98880386,-0.09364832,-6.77E-04,0.003503799
118,2345542574,-128.3539581,-73.43032837,-24.04140663,-0.007482864,-0.050473697,-0.0367651
120,2345575908,-128.3833466,-73.42699432,-24.0024147,-0.023514792,-0.002700595,0.01103878
122,2345609242,-128.4122772,-73.42485046,-23.95694923,-0.07645294,0.16968009,0.008401871
