PacketCounter_tibia,SampleTimeFine_tibia,Euler_X_tibia,Euler_Y_tibia,Euler_Z_tibia,FreeAcc_X_tibia,FreeAcc_Y_tibia,FreeAcc_Z_tibia
1,1208006806,-165.3299866,-79.01475525,0.490093708,-0.082196176,-0.115235515,-0.05026436
2,1208023473,-165.2764893,-79.0421524,0.420228928,-0.0566195,-0.16416931,-0.070547104
3,1208040140,-165.1854095,-79.07133484,0.298288971,-0.03763565,-0.08923721,0.0415287
4,1208056807,-165.0800934,-79.10644531,0.174911126,-0.048476413,0.004582351,0.024840355
5,1208073474,-164.970108,-79.14385986,0.076545507,-0.0864944,0.041848443,-0.018874168
6,1208090141,-164.8330841,-79.18489838,-0.029133886,-0.11957499,0.012155696,-0.006399155
7,1208106808,-164.699707,-79.23444366,-0.117238611,-0.11416934,9.70E-04,-0.002808571
8,1208123475,-164.555481,-79.28813934,-0.209839329,-0.081012875,-0.01562836,-0.028306007
9,1208140142,-164.4031982,-79.34656525,-0.313756377,-0.036050934,-0.030220013,-0.01725483
10,1208156809,-164.245636,-79.4050827,-0.432768673,0.027595371,-0.039572354,0.021632195
11,1208173476,-164.0903168,-79.46350861,-0.5641675,0.051719405,-0.001066324,0.017630577
12,1208190143,-163.9504089,-79.52037811,-0.6927858,0.038475595,0.032985818,-0.037849426
13,1208206810,-163.8264771,-79.57485199,-0.813163579,0.053027947,0.036334097,-0.058786392
14,1208223477,-163.703598,-79.6239624,-0.934534907,0.05284632,0.033309855,-5.15E-05
15,1208240144,-163.5874786,-79.66931915,-1.047408223,0.049584296,0.013714029,0.009512901
16,1208256811,-163.4884796,-79.71084595,-1.138388515,0.08617278,0.017954629,-0.031921387
17,1208273478,-163.4085388,-79.74504852,-1.202656865,0.201499,0.097824804,-0.055603027
18,1208290145,-163.3772583,-79.76750946,-1.201968789,0.24020043,0.121127985,-0.10539913
19,1208306812,-163.3865662,-79.77513123,-1.155127048,0.29479954,0.09402995,-0.0815382
20,1208323479,-163.4475555,-79.77037811,-1.071074247,0.22907846,0.04143215,-0.038228035
21,1208340146,-163.5564728,-79.75328064,-0.956537187,0.16294837,0.03578554,-0.05567074
22,1208356813,-163.695755,-79.7278595,-0.828534424,0.110740945,-0.034674123,-0.058221817
23,1208373480,-163.8422852,-79.69796753,-0.718312323,0.07938991,-0.054186974,-0.050359726
24,1208390147,-163.9966888,-79.6673584,-0.626929998,0.020320548,-0.0513611,-0.04406166
25,1208406814,-164.1570892,-79.63739777,-0.535048485,-0.03826834,-0.010656092,-0.048804283
26,1208423481,-164.2918549,-79.60903168,-0.4553262,-0.06219417,-0.03278488,0.028999329
27,1208440148,-164.3854065,-79.58683014,-0.400458425,-0.09110544,-0.054580078,0.05117035
28,1208456815,-164.4497833,-79.56957245,-0.372514367,-0.11639652,-0.10421571,0.0595026
29,1208473482,-164.4730225,-79.56031036,-0.381493181,-0.15345193,-0.06549578,0.006599426
30,1208490149,-164.4571533,-79.55857849,-0.408444524,-0.1668782,-0.003569502,-0.026565552
31,1208506816,-164.4106598,-79.55895233,-0.448070288,-0.09833138,-0.016923396,-0.014883041
32,1208523483,-164.3441315,-79.56163025,-0.518644631,-0.029171675,-0.09057292,0.035107613
33,1208540150,-164.2856293,-79.56900787,-0.610691607,0.01090387,-0.09933413,-0.029485703
34,1208556817,-164.2311401,-79.5753479,-0.717652738,0.060759705,-0.09003163,-0.09900665
35,1208573484,-164.1549377,-79.57200623,-0.854009151,0.09251856,-0.04541722,-0.061709404
36,1208590151,-164.0913391,-79.56264496,-0.978527248,0.123746775,0.077289216,-0.024151802
37,1208606818,-164.0598907,-79.54543304,-1.047722101,0.25110283,0.16390786,-0.017279625
38,1208623485,-164.0751953,-79.51275635,-1.042824388,0.30668828,0.18697116,-0.020292282
39,1208640152,-164.1470184,-79.46339417,-0.982839882,0.33412337,0.12744954,-0.047733307
40,1208656819,-164.2959595,-79.40344238,-0.865471244,0.23762423,0.059732273,-0.08305359
41,1208673486,-164.4918365,-79.33892059,-0.717959166,0.077329636,0.032923795,-0.09660816
42,1208690153,-164.6940002,-79.27165222,-0.548034668,-0.065078124,0.0789607,-0.03821373
43,1208706820,-164.8664398,-79.20761108,-0.366332352,-0.16869809,0.037892375,0.055994034
44,1208723487,-165.0202484,-79.15161896,-0.172276318,-0.24755217,-0.00159158,0.058015823
45,1208740154,-165.1660919,-79.11031342,0.016680509,-0.23639065,-0.08912138,0.019618988
46,1208756821,-165.2480164,-79.08088684,0.120648019,-0.23345883,-0.21887696,0.04643631
47,1208773488,-165.2752686,-79.06594849,0.145980239,-0.22838959,-0.18652156,0.05979824
48,1208790155,-165.2585907,-79.06589508,0.116397962,-0.23683338,-0.1093308,0.04457283
49,1208806822,-165.2023468,-79.07919312,0.064109758,-0.18911557,-0.032969445,-0.013941765
50,1208823489,-165.0902863,-79.10154724,-0.011433544,-0.14440805,9.75E-04,0.025647163
51,1208840156,-164.9436951,-79.1341095,-0.095838964,-0.10018994,-0.01384266,0.04497528
52,1208856823,-164.8091278,-79.17167664,-0.164580792,-0.050789315,-0.028279418,-0.006617546
53,1208873490,-164.6771393,-79.21340179,-0.255873144,-0.009762068,-0.1131964,-0.053020477
54,1208890157,-164.5302734,-79.2530899,-0.394184351,0.06752644,-0.06142723,-0.027555466
55,1208906824,-164.401413,-79.28606415,-0.551602662,0.060402818,-0.044707898,-0.004891396
56,1208923491,-164.2427368,-79.31188965,-0.77988416,0.049953554,-0.15055023,0.093027115
57,1208940158,-164.0192413,-79.32550049,-1.068002105,0.06044504,-0.14588232,0.13485909
58,1208956825,-163.7821198,-79.33781433,-1.345227957,-0.02259718,8.62E-04,0.021607399
