PacketCounter_tibia,SampleTimeFine_tibia,Euler_X_tibia,Euler_Y_tibia,Euler_Z_tibia,FreeAcc_X_tibia,FreeAcc_Y_tibia,FreeAcc_Z_tibia
1,191960173,-168.7403259,-80.91876984,34.56534958,-0.16278477,0.10561982,-0.018074036
2,191976840,-168.7287903,-80.91939545,34.55561829,-0.16094895,0.12491882,-0.020165443
3,191993507,-168.727005,-80.91874695,34.55774689,-0.13888654,0.12564446,-0.027033806
4,192010174,-168.7336731,-80.91770935,34.57279587,-0.12210753,0.11401418,-0.017333984
5,192026841,-168.7399292,-80.91680145,34.58462143,-0.1029594,0.09614018,-0.013852119
6,192043508,-168.738739,-80.91563416,34.5876503,-0.085471965,0.05593367,-0.030175209
7,192060175,-168.7276306,-80.91459656,34.57881927,-0.06432927,0.038741164,-0.022942543
8,192076842,-168.7089539,-80.91200256,34.55617905,-0.09007025,0.039980434,-0.006217957
9,192093509,-168.6875763,-80.90925598,34.53167725,-0.11718075,0.08804846,-0.018295288
10,192110176,-168.6749573,-80.90655518,34.51934433,-0.14031456,0.09250732,-0.008465767
11,192126843,-168.6722717,-80.90497589,34.52020645,-0.16875413,0.06714821,-0.02577877
12,192143510,-168.6600647,-80.90496063,34.51270676,-0.15443684,0.049995378,-0.03437996
13,192160177,-168.6448822,-80.90549469,34.5010376,-0.13452026,0.08691715,-0.022068024
14,192176844,-168.6274567,-80.90379333,34.48729324,-0.1295109,0.11587683,-0.03967285
15,192193511,-168.6094055,-80.90228271,34.4722023,-0.1462884,0.11244434,-0.0170784
16,192210178,-168.6127625,-80.90189362,34.47834778,-0.13520953,0.11020105,-0.016304016
17,192226845,-168.6357574,-80.90137482,34.50650024,-0.14868858,0.11415388,-0.03507805
18,192243512,-168.6535797,-80.902771,34.53643799,-0.12608014,0.050504316,-0.025997162
19,192260179,-168.6586151,-80.90411377,34.54951096,-0.102233596,0.043351345,-0.014811516
20,192276846,-168.6424561,-80.90206146,34.53697586,-0.08945983,0.027752599,-0.01914215
21,192293513,-168.6184692,-80.90029144,34.5112915,-0.086462915,0.042829774,-0.017703056
22,192310180,-168.5926971,-80.90029144,34.48202515,-0.113040894,0.07925032,-0.010224342
23,192326847,-168.5785065,-80.89968109,34.46754456,-0.1323595,0.09791544,-0.0323143
24,192343514,-168.5599365,-80.90070343,34.45328522,-0.13238935,0.087658316,-0.021077156
25,192360181,-168.5366669,-80.89914703,34.43663406,-0.109595165,0.07437394,-0.012308121
26,192376848,-168.4983673,-80.89834595,34.40379715,-0.08963887,0.060671363,-0.01636219
27,192393515,-168.466217,-80.89614868,34.36954117,-0.10313659,0.07316417,-0.0244627
