PacketCounter_femur,SampleTimeFine_femur,Euler_X_femur,Euler_Y_femur,Euler_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur,PacketCounter_tibia,SampleTimeFine_tibia,Euler_X_tibia,Euler_Y_tibia,Euler_Z_tibia,FreeAcc_X_tibia,FreeAcc_Y_tibia,FreeAcc_Z_tibia
1,1763534509,-2.439327955245972,58.25265502929688,156.02606201171875,-0.07970704,0.048537795,-0.07056332,1,1763534509,-46.20659255981445,56.23883056640625,71.59282684326172,-0.18593657,0.78756535,-0.12399006
2,1763551176,-2.446054220199585,58.23381805419922,156.01718139648438,-0.12266862,0.08900767,-0.018362045,2,1763551176,-46.249061584472656,56.22563171386719,71.54666137695312,-0.12903799,0.7680033,-0.06105995
3,1763567843,-2.452620506286621,58.22789764404297,155.99986267089844,-0.08551229,0.108101144,-0.018234253,3,1763567843,-46.30874633789063,56.21785354614258,71.50777435302734,-0.17218964,0.70596164,-0.08122444
4,1763584510,-2.4682624340057373,58.22891998291016,155.9803924560547,-0.07844001,0.0520636,-0.08513832,4,1763584510,-46.34916687011719,56.20594024658203,71.48548889160156,-0.25286657,0.7462407,-0.10263443
5,1763601177,-2.4892802238464355,58.23265075683594,155.96234130859375,-0.13923402,-0.008261262,-0.094285965,5,1763601177,-46.37186813354492,56.1951904296875,71.46868896484375,-0.18892752,0.8158688,-0.07911968
6,1763617844,-2.5057694911956787,58.22744369506836,155.94354248046875,-0.23284137,0.00930518,-0.030835152,6,1763617844,-46.38201904296875,56.18297576904297,71.44026184082031,-0.12558891,0.8942588,-0.088394165
7,1763634511,-2.5186209678649902,58.22398376464844,155.9232177734375,-0.27883476,0.056091525,0.031933784,7,1763634511,-46.39971923828125,56.18707656860352,71.38783264160156,-0.18019156,0.81141615,-0.12689495
8,1763651178,-2.540911197662353,58.22411346435547,155.9050750732422,-0.20549576,0.05035825,0.03620529,8,1763651178,-46.41261672973633,56.18899154663086,71.33623504638672,-0.16170844,0.8360055,-0.016706467
9,1763667845,-2.569577932357788,58.2234001159668,155.8906707763672,-0.12823807,0.063734606,0.027049065,9,1763667845,-46.43009948730469,56.200286865234375,71.28175354003906,-0.2069179,0.760786,-0.060894966
10,1763684512,-2.573899984359741,58.21168899536133,155.8882293701172,-0.16411194,0.069325395,0.07026291,10,1763684512,-46.46030044555664,56.22042846679688,71.21503448486328,-0.16014172,0.7751858,-0.071294785
11,1763701179,-2.56305193901062,58.19513320922852,155.8902130126953,-0.15044786,0.12279215,0.029583931,11,1763701179,-46.46317672729492,56.24692153930664,71.15625762939453,-0.15671287,0.8289237,0.016526222
12,1763717846,-2.553548574447632,58.18971633911133,155.88299560546875,-0.12426753,0.060366154,0.033704758,12,1763717846,-46.47129440307617,56.26737594604492,71.09521484375,-0.18585387,0.8344434,0.0335598
13,1763734513,-2.5461318492889404,58.17744064331055,155.87843322753906,-0.15319023,0.000979769,-0.0046014786,13,1763734513,-46.493289947509766,56.2849235534668,71.04290008544922,-0.19726807,0.7760665,-0.06526852
14,1763751180,-2.5740442276000977,58.16878890991211,155.85113525390625,-0.09556562,0.01630812,-0.055667877,14,1763751180,-46.53850173950195,56.29034423828125,71.00605010986328,-0.20941286,0.80685025,-0.06519127
15,1763767847,-2.610535144805908,58.15861129760742,155.82937622070312,-0.15918206,0.08120444,-0.10698414,15,1763767847,-46.59011459350586,56.28922271728516,70.97901153564453,-0.17222998,0.91982776,-0.07750702
16,1763784514,-2.624319314956665,58.15396499633789,155.82740783691406,-0.15201011,0.13578089,-0.10331154,16,1763784514,-46.60847473144531,56.28306579589844,70.95535278320312,-0.053994138,0.9890486,-0.016519547
17,1763801181,-2.6352245807647705,58.15231323242188,155.8123779296875,-0.20146555,0.10767569,0.0042743683,17,1763801181,-46.609901428222656,56.28121566772461,70.91310119628906,-0.09597227,0.910841,-0.07523632
18,1763817848,-2.6539299488067627,58.14620590209961,155.78091430664062,-0.22101852,0.06425327,0.036049843,18,1763817848,-46.60853958129883,56.28507995605469,70.86644744873047,-0.17511737,0.82853055,-0.072496414
19,1763834515,-2.665226936340332,58.13984298706055,155.75416564941406,-0.13899407,0.01891171,0.062464714,19,1763834515,-46.619407653808594,56.28125762939453,70.82321166992188,-0.18290854,0.8170006,0.03199768
20,1763851182,-2.684239387512207,58.13052368164063,155.75059509277344,-0.04901491,0.044035796,0.025639534,20,1763851182,-46.64736175537109,56.26625061035156,70.7905044555664,-0.1659715,0.78707135,0.037695885
21,1763867849,-2.7083852291107178,58.1214485168457,155.74049377441406,-0.055185392,0.12857476,-0.019115448,21,1763867849,-46.65562438964844,56.24803924560547,70.76914978027344,-0.07630967,0.8583966,0.029988289
22,1763884516,-2.7215967178344727,58.11835861206055,155.724365234375,-0.06682666,0.12158814,-0.04798031,22,1763884516,-46.62826919555664,56.22977066040039,70.762451171875,-0.19530647,0.81930774,-0.039964676
23,1763901183,-2.718920946121216,58.11842727661133,155.70750427246094,-0.14184308,0.023746965,-0.02991867,23,1763901183,-46.58639526367188,56.210147857666016,70.75984191894531,-0.1885756,0.7998219,-0.09796238
24,1763917850,-2.709113836288452,58.11058044433594,155.6909942626953,-0.24753654,-0.016252521,0.071894646,24,1763917850,-46.56629180908203,56.19230270385742,70.74944305419922,-0.15439878,0.8599583,-0.046762466
25,1763934517,-2.6992759704589844,58.092994689941406,155.69503784179688,-0.2965472,0.0706149,0.10112858,25,1763934517,-46.566925048828125,56.18215560913086,70.72284698486328,-0.12698369,0.8990384,-0.008724213
26,1763951184,-2.6934542655944824,58.07717514038086,155.69082641601562,-0.232668,0.087193914,0.08349037,26,1763951184,-46.56455993652344,56.17705154418945,70.67958068847656,-0.11918739,0.8065045,-0.044075012
27,1763967851,-2.6809303760528564,58.05957412719727,155.67593383789062,-0.15151924,0.079173766,0.02498436,27,1763967851,-46.57594680786133,56.17958450317383,70.6384048461914,-0.21701264,0.80486053,-0.03707218
28,1763984518,-2.667655229568481,58.04019546508789,155.64791870117188,-0.11981607,0.011694142,-0.062459946,28,1763984518,-46.5816535949707,56.17800521850586,70.59500885009766,-0.17363375,0.81463903,-0.07324219
29,1764001185,-2.665669679641724,58.027565002441406,155.6358642578125,-0.10559266,-0.04731786,-0.089941025,29,1764001185,-46.57964324951172,56.17509841918945,70.55298614501953,-0.19779383,0.7710911,-0.10383797
