sep=,
DeviceTag:,FemurR,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.6.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.4,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Euler),,,,,,,,,,,,,,,,,
StartTime:,2021-04-09 03:13:32.450 +0800,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2021,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 1763534509, -2.4393279552459717, 58.252655029296875, 156.02606201171875, -0.07970704, 0.048537795, -0.07056332
2, 1763551176, -2.446054220199585, 58.23381805419922, 156.01718139648438, -0.12266862, 0.08900767, -0.018362045
3, 1763567843, -2.452620506286621, 58.22789764404297, 155.99986267089844, -0.08551229, 0.108101144, -0.018234253
4, 1763584510, -2.4682624340057373, 58.228919982910156, 155.9803924560547, -0.07844001, 0.0520636, -0.08513832
5, 1763601177, -2.4892802238464355, 58.23265075683594, 155.96234130859375, -0.13923402, -0.008261262, -0.094285965
6, 1763617844, -2.5057694911956787, 58.22744369506836, 155.94354248046875, -0.23284137, 0.00930518, -0.030835152
7, 1763634511, -2.5186209678649902, 58.22398376464844, 155.9232177734375, -0.27883476, 0.056091525, 0.031933784
8, 1763651178, -2.5409111976623535, 58.22411346435547, 155.9050750732422, -0.20549576, 0.05035825, 0.03620529
9, 1763667845, -2.569577932357788, 58.2234001159668, 155.8906707763672, -0.12823807, 0.063734606, 0.027049065
10, 1763684512, -2.573899984359741, 58.21168899536133, 155.8882293701172, -0.16411194, 0.069325395, 0.07026291
11, 1763701179, -2.56305193901062, 58.195133209228516, 155.8902130126953, -0.15044786, 0.12279215, 0.029583931
12, 1763717846, -2.553548574447632, 58.18971633911133, 155.88299560546875, -0.12426753, 0.060366154, 0.033704758
13, 1763734513, -2.5461318492889404, 58.17744064331055, 155.87843322753906, -0.15319023, 9.79769E-4, -0.0046014786
14, 1763751180, -2.5740442276000977, 58.16878890991211, 155.85113525390625, -0.09556562, 0.01630812, -0.055667877
15, 1763767847, -2.610535144805908, 58.15861129760742, 155.82937622070312, -0.15918206, 0.08120444, -0.10698414
16, 1763784514, -2.624319314956665, 58.15396499633789, 155.82740783691406, -0.15201011, 0.13578089, -0.10331154
17, 1763801181, -2.6352245807647705, 58.152313232421875, 155.8123779296875, -0.20146555, 0.10767569, 0.0042743683
18, 1763817848, -2.6539299488067627, 58.14620590209961, 155.78091430664062, -0.22101852, 0.06425327, 0.036049843
19, 1763834515, -2.665226936340332, 58.13984298706055, 155.75416564941406, -0.13899407, 0.01891171, 0.062464714
20, 1763851182, -2.684239387512207, 58.130523681640625, 155.75059509277344, -0.04901491, 0.044035796, 0.025639534
21, 1763867849, -2.7083852291107178, 58.1214485168457, 155.74049377441406, -0.055185392, 0.12857476, -0.019115448
22, 1763884516, -2.7215967178344727, 58.11835861206055, 155.724365234375, -0.06682666, 0.12158814, -0.04798031
23, 1763901183, -2.718920946121216, 58.11842727661133, 155.70750427246094, -0.14184308, 0.023746965, -0.02991867
24, 1763917850, -2.709113836288452, 58.11058044433594, 155.6909942626953, -0.24753654, -0.016252521, 0.071894646
25, 1763934517, -2.6992759704589844, 58.092994689941406, 155.69503784179688, -0.2965472, 0.0706149, 0.10112858
26, 1763951184, -2.6934542655944824, 58.07717514038086, 155.69082641601562, -0.232668, 0.087193914, 0.08349037
27, 1763967851, -2.6809303760528564, 58.059574127197266, 155.67593383789062, -0.15151924, 0.079173766, 0.02498436
28, 1763984518, -2.6676552295684814, 58.04019546508789, 155.64791870117188, -0.11981607, 0.011694142, -0.062459946
29, 1764001185, -2.6656696796417236, 58.027565002441406, 155.6358642578125, -0.10559266, -0.04731786, -0.089941025
30, 1764017852, -2.6945011615753174, 58.01820755004883, 155.62399291992188, -0.12860526, 0.046802998, -0.02598095
31, 1764034519, -2.694772720336914, 58.00106430053711, 155.6204833984375, -0.18987581, 0.16569318, 0.04182625
32, 1764051186, -2.669517755508423, 57.98845672607422, 155.62091064453125, -0.23370206, 0.11519902, -0.013940811
33, 1764067853, -2.6307895183563232, 57.97966766357422, 155.66067504882812, -0.17261103, -0.0021441039, -0.02543354
34, 1764084520, -2.617044687271118, 57.97138977050781, 155.68832397460938, -0.085764855, -0.04579518, -0.022315979
35, 1764101187, -2.6267783641815186, 57.96015167236328, 155.74024963378906, -0.11409086, 0.026107486, 0.050971985
36, 1764117854, -2.6425940990448, 57.93113708496094, 155.7301025390625, -0.20686308, 0.09623144, 0.14230442
37, 1764134521, -2.6265385150909424, 57.91024398803711, 155.75320434570312, -0.17784132, 0.07968762, 0.012253761
38, 1764151188, -2.603647232055664, 57.89842224121094, 155.78233337402344, -0.14336765, -0.069575004, -0.097914696
39, 1764167855, -2.58937668800354, 57.88425064086914, 155.829345703125, -0.1885139, -0.07488801, -0.124240875
40, 1764184522, -2.6138551235198975, 57.85820388793945, 155.87600708007812, -0.19230816, -0.025788702, -0.014650345
41, 1764201189, -2.6412513256073, 57.835453033447266, 155.92137145996094, -0.15960419, 0.14799681, -0.018371582
42, 1764217856, -2.6355860233306885, 57.82419967651367, 155.9413604736328, -0.13525036, 0.03216603, -0.026129723
43, 1764234523, -2.6227385997772217, 57.81665802001953, 155.90150451660156, -0.16027166, -0.022845203, -0.033011436
44, 1764251190, -2.6195859909057617, 57.80988693237305, 155.9207000732422, -0.1667901, 0.0012208278, -0.006114006
45, 1764267857, -2.6519434452056885, 57.7880744934082, 155.83221435546875, -0.12556447, 0.06209771, -0.012108803
46, 1764284524, -2.6489803791046143, 57.773475646972656, 155.86111450195312, -0.102719106, 0.15973845, -0.048838615
47, 1764301191, -2.654356002807617, 57.76434326171875, 155.82077026367188, -0.13714713, 0.07646959, 0.007329941
48, 1764317858, -2.634169340133667, 57.75, 155.8229522705078, -0.23515278, 0.107474975, 0.13101482
49, 1764334525, -2.5914816856384277, 57.73052215576172, 155.78614807128906, -0.24987382, 0.039409135, 0.097332954
50, 1764351192, -2.572843551635742, 57.71134948730469, 155.80929565429688, -0.20072041, -0.059859283, 0.052371025
51, 1764367859, -2.578523874282837, 57.68329620361328, 155.774169921875, -0.13305879, -0.047667883, 0.0399065
52, 1764384526, -2.607682943344116, 57.64372253417969, 155.5813751220703, -0.09499943, 0.11607542, 0.040110588
53, 1764401193, -2.599982261657715, 57.61486053466797, 155.58026123046875, -0.04250624, 0.21319191, 0.014555931
54, 1764417860, -2.5635790824890137, 57.58176040649414, 155.51162719726562, -0.098104164, 0.2306784, 0.021590233
55, 1764434527, -2.4655418395996094, 57.55385208129883, 155.5030975341797, -0.087900534, 0.18531598, -0.08258724
56, 1764451194, -2.350015878677368, 57.535423278808594, 155.51913452148438, -0.022254389, 0.069413066, -0.17645645
57, 1764467861, -2.2641773223876953, 57.519134521484375, 155.5276641845703, -0.053693175, 0.042967014, -0.16462517
58, 1764484528, -2.2184903621673584, 57.50522232055664, 155.50315856933594, -0.11270465, 0.11994778, -0.098649025
59, 1764501195, -2.198453426361084, 57.49945068359375, 155.4370880126953, -0.14671803, 0.19449209, -0.021255493
60, 1764517862, -2.192800521850586, 57.49932098388672, 155.3400115966797, -0.14407867, 0.10285116, 0.002688408
