sep=,
DeviceTag:,femurLeft,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.6.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.4,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2021-03-19 14:41:38.361 +0800,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2021,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 402116928, 0.65924025, 0.12885685, -0.7196098, 0.17595394, 0.3914597, 0.99461836, -0.20352554
2, 402133595, 0.6595838, 0.12831964, -0.7192738, 0.1764325, 0.46818274, 0.8432456, -0.21258926
3, 402150262, 0.6597371, 0.12727892, -0.7194258, 0.17599335, 0.53581554, 0.497203, -0.07994366
4, 402166929, 0.6597811, 0.12586819, -0.7199064, 0.17487353, 0.42402956, 0.034391437, 0.20376587
5, 402183596, 0.65974295, 0.12465529, -0.72040206, 0.17384207, 0.07480174, -0.3576755, 0.22380638
6, 402200263, 0.6595904, 0.12411296, -0.72071785, 0.17350006, -0.2587529, -0.5135788, 0.19704342
7, 402216930, 0.65904045, 0.12442578, -0.72107786, 0.17386934, -0.5446872, -0.50302845, 0.012923241
8, 402233597, 0.65804815, 0.12553903, -0.7215938, 0.17468485, -0.51106817, -0.57254034, -0.028305054
9, 402250264, 0.6566707, 0.12720235, -0.72226036, 0.17590606, -0.44490075, -0.648696, 0.2782259
10, 402266931, 0.6552238, 0.12898088, -0.7228843, 0.17743722, -0.04577009, -0.46017468, 0.39411926
11, 402283598, 0.6541243, 0.1304247, -0.7232436, 0.17896774, 0.02445053, -0.17676505, 0.39692497
12, 402300265, 0.6534967, 0.13158078, -0.72327644, 0.18027714, -0.003089843, 0.22762705, 0.08746338
13, 402316932, 0.652963, 0.1325843, -0.7233414, 0.18121159, -0.07226978, 0.30880314, -0.21247959
14, 402333599, 0.6521417, 0.13365282, -0.72370017, 0.1819508, -0.095318, 0.32262638, -0.1257143
15, 402350266, 0.65103316, 0.13478094, -0.7243474, 0.18251196, -0.0014912784, 0.27341104, 0.12037945
16, 402366933, 0.6500426, 0.13554278, -0.72495526, 0.18306425, 0.1112424, 0.35101765, 0.47070122
17, 402383600, 0.64942986, 0.13538542, -0.7254724, 0.1833077, 0.0010402293, 0.34960616, 0.6862011
18, 402400267, 0.64925355, 0.13456482, -0.7257149, 0.18357502, 0.07887951, 0.33022508, 0.4530344
19, 402416934, 0.64971197, 0.1334521, -0.7255942, 0.18324251, -0.051497385, 0.042446006, 0.019440651
20, 402433601, 0.6501769, 0.13230757, -0.72564346, 0.18222545, -0.24171898, -0.08849828, -0.09028816
21, 402450268, 0.6502274, 0.13138221, -0.72600794, 0.18126059, -0.22656927, -0.07546021, 0.08643532
22, 402466935, 0.6500542, 0.1304097, -0.72654974, 0.1804118, -0.1235593, -0.05481046, 0.21150303
23, 402483602, 0.6498172, 0.12934394, -0.7270791, 0.17989933, -0.055899248, -0.028004833, 0.39290237
24, 402500269, 0.6496479, 0.12843232, -0.72736174, 0.1800209, 0.05310623, -0.06261431, 0.41983986
