sep=,
DeviceTag:,tibiaLeft,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.6.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.4,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2021-03-19 14:41:38.363 +0800,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2021,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 402116928, 0.59273547, -0.32163018, -0.696858, -0.24415106, 0.65769583, -0.39098686, -0.0847559
2, 402133595, 0.5926573, -0.3220197, -0.6970481, -0.24328323, 0.7423442, -0.44493327, -0.024271965
3, 402150262, 0.59238034, -0.32309264, -0.6968024, -0.2432388, 0.53644806, -0.50423616, 0.042549133
4, 402166929, 0.592033, -0.32436275, -0.6963931, -0.24356633, 0.14387305, -0.4838642, 8.1539154E-4
5, 402183596, 0.5918374, -0.32515627, -0.69617444, -0.24360831, -0.16301784, -0.20076336, 0.04623127
6, 402200263, 0.5918447, -0.3254326, -0.69616735, -0.24324185, -0.23030193, 0.16472134, 0.02905655
7, 402216930, 0.59198546, -0.32544568, -0.6962898, -0.24253012, -0.2893715, 0.39439744, -0.011112213
8, 402233597, 0.5921447, -0.3252824, -0.6965594, -0.24158494, -0.39668095, 0.33447886, -0.123158455
9, 402250264, 0.5923256, -0.32477477, -0.69709593, -0.24027275, -0.47711655, 0.09640237, -0.08524895
10, 402266931, 0.5925897, -0.32394764, -0.69781697, -0.23863968, -0.4067775, 0.038723953, -0.0037603378
11, 402283598, 0.5928397, -0.32311076, -0.6985901, -0.23688477, -0.209437, 0.11687515, -0.018813133
12, 402300265, 0.59302217, -0.32258984, -0.69922775, -0.23525186, 0.108309016, 0.18973891, -0.1112175
13, 402316932, 0.5930932, -0.32252595, -0.6996239, -0.23397855, 0.30365488, 0.079005346, -0.05919552
14, 402333599, 0.59307283, -0.3225849, -0.69996244, -0.23293452, 0.22953394, -0.1723077, -0.072579384
15, 402350266, 0.5932013, -0.32226154, -0.7003863, -0.23177737, 0.058814306, -0.36733326, 0.046383858
16, 402366933, 0.59348965, -0.32158357, -0.7008644, -0.23053247, 0.12578146, -0.2389662, 0.03923893
17, 402383600, 0.59361774, -0.32138088, -0.7011158, -0.22971939, 0.21142448, 0.0044016405, 0.07619858
18, 402400267, 0.5933981, -0.32195735, -0.70108336, -0.22957869, 0.033003923, 0.107608415, 0.052812576
19, 402416934, 0.5929865, -0.32287773, -0.7009491, -0.22975963, -0.07082187, 0.08225791, -0.07612705
20, 402433601, 0.5924423, -0.32393637, -0.70080996, -0.23009783, -0.03237719, -0.0076087164, -0.14723969
21, 402450268, 0.5919395, -0.32485408, -0.70072997, -0.23034114, -0.017447421, -0.025676498, -0.044898033
