sep=,
DeviceTag:,47,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.6.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.4,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2021-03-24 15:22:59.036 +0800,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2021,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 694172537, -0.22617987, -0.101246744, 0.07428831, -0.9659572, -0.018518928, -0.015180707, 0.052062035
2, 694189204, -0.2261471, -0.10127202, 0.074322715, -0.96595955, -0.012382632, -0.020710139, 0.059515953
3, 694205871, -0.22611794, -0.10129533, 0.07433946, -0.96596265, -0.02697184, -0.012652147, 0.06997013
4, 694222538, -0.22609508, -0.10131379, 0.074354656, -0.9659649, -0.019363932, -0.030215362, 0.0587883
5, 694239205, -0.22607124, -0.10131882, 0.07436554, -0.96596915, -0.032507543, -0.031771317, 0.062698364
6, 694255872, -0.22604875, -0.10133521, 0.07438446, -0.9659711, -0.03815397, -0.026400177, 0.062469482
7, 694272539, -0.2260187, -0.10135049, 0.07441654, -0.96597403, -0.03564603, 0.0030260861, 0.07736683
8, 694289206, -0.2259743, -0.101362966, 0.07444707, -0.9659809, -0.043522444, 0.004023443, 0.07065296
9, 694305873, -0.22593187, -0.101387344, 0.07447925, -0.9659858, -0.021969438, 0.035368327, 0.070757866
10, 694322540, -0.22587027, -0.10140174, 0.07446002, -0.96600014, -0.03191979, 0.037554912, 0.06795502
11, 694339207, -0.22580458, -0.10142683, 0.07441687, -0.96601623, -0.05478082, 0.03130342, 0.08146858
12, 694355874, -0.225746, -0.101453036, 0.07437203, -0.9660306, -0.04171773, 0.014666585, 0.05945301
13, 694372541, -0.22568499, -0.1014767, 0.074336454, -0.96604514, -0.06533981, 0.021961546, 0.06844807
14, 694389208, -0.22562551, -0.10149534, 0.07428727, -0.9660609, -0.06913601, 0.00797138, 0.07565594
15, 694405875, -0.22556828, -0.10150894, 0.074227825, -0.9660773, -0.06449705, 0.021196306, 0.071157455
16, 694422542, -0.22550334, -0.101520926, 0.07416771, -0.96609586, -0.060944956, -0.024301069, 0.07567406
17, 694439209, -0.22545634, -0.10153087, 0.07412107, -0.96610945, -0.05533422, -0.024647668, 0.06858444
18, 694455876, -0.22542118, -0.10153731, 0.074097976, -0.9661186, -0.044850737, -0.04862685, 0.0578804
19, 694472543, -0.22539514, -0.10153933, 0.07407906, -0.966126, -0.037184242, -0.033323575, 0.06794739
20, 694489210, -0.22536263, -0.10153645, 0.074088305, -0.9661332, -0.038530882, -0.034774635, 0.06368446
21, 694505877, -0.22533478, -0.10153631, 0.074089475, -0.9661396, -0.02534377, -0.017832268, 0.046839714
22, 694522544, -0.22530492, -0.10154867, 0.07407261, -0.9661465, -0.017671507, -0.023432847, 0.06349659
23, 694539211, -0.22528611, -0.101548515, 0.07408514, -0.96615, -0.026763218, -0.023934409, 0.06261444
24, 694555878, -0.22527047, -0.10155639, 0.0741101, -0.9661509, -0.050497487, 0.0037615832, 0.058893204
25, 694572545, -0.22523047, -0.101560935, 0.074118964, -0.96615905, -0.021134323, 0.026526518, 0.057933807
26, 694589212, -0.22520007, -0.10156455, 0.07411273, -0.96616626, -0.03451811, 0.011732893, 0.06347847
27, 694605879, -0.22517295, -0.101571366, 0.07408155, -0.9661742, -0.035914008, 0.01509802, 0.06162262
28, 694622546, -0.22513439, -0.10157541, 0.07405029, -0.9661852, -0.041123267, 0.013879442, 0.06925869
29, 694639213, -0.22507298, -0.10158917, 0.074021555, -0.96620035, -0.03983248, -0.0077355597, 0.065273285
30, 694655880, -0.22501397, -0.10159829, 0.0740161, -0.9662134, -0.030625088, -0.006729877, 0.047037125
31, 694672547, -0.22496217, -0.10159463, 0.07399389, -0.96622753, -0.06317007, 0.0061685666, 0.07773304
32, 694689214, -0.22491738, -0.101591714, 0.073967785, -0.9662403, -0.053518403, -0.006488693, 0.06650543
33, 694705881, -0.2248677, -0.10158087, 0.07394443, -0.9662548, -0.06804517, -0.009576874, 0.07064724
34, 694722548, -0.22483069, -0.10156886, 0.07391852, -0.96626663, -0.05949173, -0.01120958, 0.06152439
35, 694739215, -0.22480696, -0.10156484, 0.07389343, -0.9662746, -0.04018654, -0.04225046, 0.06292534
36, 694755882, -0.22479613, -0.10154746, 0.07388817, -0.9662793, -0.027239272, -0.03182798, 0.061306953
37, 694772549, -0.2247816, -0.10153435, 0.07388445, -0.96628433, -0.036852803, -0.03148437, 0.064499855
38, 694789216, -0.22478633, -0.10153182, 0.07388649, -0.96628344, -0.018716123, -0.040500227, 0.05499935
39, 694805883, -0.22477873, -0.10153462, 0.07387061, -0.96628594, -0.030737475, -0.020524915, 0.06666756
40, 694822550, -0.2247566, -0.101531774, 0.07387771, -0.9662909, -0.028215773, 0.009271261, 0.05794525
41, 694839217, -0.2247347, -0.1015126, 0.0738684, -0.96629864, -0.044803757, 0.013168098, 0.070334435
42, 694855884, -0.22468807, -0.101519175, 0.07385587, -0.9663098, -0.041049384, -8.896095E-4, 0.06514168
43, 694872551, -0.22464235, -0.10151999, 0.073843986, -0.9663212, -0.033510376, 0.008943424, 0.07518196
44, 694889218, -0.22458768, -0.101515345, 0.07383986, -0.9663347, -0.06594994, 0.0057675983, 0.07496357
45, 694905885, -0.22453521, -0.101527125, 0.07381824, -0.96634734, -0.07019102, -0.010209555, 0.059835434
46, 694922552, -0.2244835, -0.10152343, 0.073803335, -0.9663609, -0.039152402, -0.035750058, 0.07231617
47, 694939219, -0.22443163, -0.10153478, 0.0738208, -0.96637046, -0.034804206, -0.028747188, 0.08326912
48, 694955886, -0.2243869, -0.10155565, 0.07385875, -0.96637577, -0.04876448, -0.025711771, 0.07195377
49, 694972553, -0.22434445, -0.10156967, 0.0738815, -0.9663824, -0.03220485, -0.019502357, 0.059786797
50, 694989220, -0.22431488, -0.101591855, 0.07390096, -0.9663854, -0.047019094, -0.010050931, 0.049782753
51, 695005887, -0.2243004, -0.10160035, 0.07390984, -0.9663873, -0.049595486, -0.00659366, 0.061823845
52, 695022554, -0.22429591, -0.101611875, 0.07390764, -0.96638733, -0.061790742, -0.020355925, 0.060526848
53, 695039221, -0.22429411, -0.10160575, 0.073925406, -0.96638703, -0.03888709, -0.033760082, 0.06420326
54, 695055888, -0.22429699, -0.10159673, 0.07393437, -0.96638656, -0.041180685, -0.002808552, 0.05837345
55, 695072555, -0.2242955, -0.10159393, 0.07392911, -0.9663876, -0.028357187, 0.0036491423, 0.06873989
56, 695089222, -0.22427723, -0.10161204, 0.07392065, -0.9663906, -0.032708146, -0.0010309814, 0.065683365
57, 695105889, -0.22424059, -0.10162789, 0.07391649, -0.96639764, -0.02523816, 5.466987E-4, 0.06387615
58, 695122556, -0.22420001, -0.101650365, 0.07389115, -0.96640676, -0.029531552, 0.0025128305, 0.06795502
59, 695139223, -0.22417243, -0.10167168, 0.07386298, -0.966413, -0.044156883, 0.02227952, 0.06392765
