sep=,
DeviceTag:,46,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.6.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.4,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2021-03-24 15:22:59.037 +0800,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2021,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 694139203, 0.5562621, 0.1390825, -0.8188436, -0.026903143, -0.01030797, -0.027637322, 0.08581638
2, 694155870, 0.5562717, 0.13906612, -0.81884015, -0.026896311, -0.031015553, -0.034489892, 0.100001335
3, 694172537, 0.5562714, 0.13905413, -0.8188432, -0.026873501, -0.030299863, -0.031566735, 0.10181332
4, 694189204, 0.5562698, 0.13897052, -0.81885695, -0.026914485, -0.032517113, -0.008647325, 0.09367561
5, 694205871, 0.5562624, 0.13902856, -0.8188541, -0.02685445, -0.019326089, -0.004499194, 0.10103035
6, 694222538, 0.5562495, 0.13901457, -0.8188656, -0.026847629, -0.017887741, -0.02013779, 0.10202503
7, 694239205, 0.5562424, 0.13900751, -0.81887233, -0.026824834, -0.037484463, -0.005715338, 0.103022575
8, 694255872, 0.55622905, 0.13898598, -0.8188855, -0.02681097, -0.016025431, -0.014708773, 0.12750912
9, 694272539, 0.55620646, 0.13895865, -0.81890565, -0.026804592, -0.021912763, -0.018787326, 0.11594772
10, 694289206, 0.5561909, 0.13911141, -0.8188942, -0.026686614, -0.017548002, -0.04590498, 0.089904785
11, 694305873, 0.5561676, 0.13916321, -0.8189021, -0.026655158, -0.013328971, -0.050213248, 0.10994339
12, 694322540, 0.55614585, 0.13922215, -0.81890804, -0.026622405, -0.010412128, -0.05144659, 0.121990204
13, 694339207, 0.5561339, 0.13926595, -0.81890905, -0.0266091, -0.013326736, -0.02554306, 0.11976528
14, 694355874, 0.55612254, 0.13928078, -0.81891376, -0.026623614, -0.004470259, -0.031448215, 0.106544495
15, 694372541, 0.5561149, 0.13931584, -0.81891274, -0.026631644, -0.004399182, -0.030416034, 0.1134882
16, 694389208, 0.55611575, 0.13935363, -0.8189053, -0.026645338, 0.004900745, -0.013144238, 0.13291359
17, 694405875, 0.5561293, 0.13939273, -0.8188892, -0.026651949, 0.00833301, 0.0067999344, 0.118133545
18, 694422542, 0.5561393, 0.13941681, -0.8188776, -0.026678404, -0.0046477285, 0.00286823, 0.13538456
19, 694439209, 0.55615723, 0.13943177, -0.8188623, -0.026692295, -0.016102767, -8.0157333E-4, 0.111029625
20, 694455876, 0.55616516, 0.13943745, -0.8188559, -0.026694236, -0.028307023, 0.019568894, 0.11797905
