PacketCounter_femur,SampleTimeFine_femur,Quat_W_femur,Quat_X_femur,Quat_Y_femur,Quat_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur
1,285897937,0.7009468,-0.036465902,-0.7086882,0.07146286,0.105199054,0.09302131,0.2368288
2,285914604,0.7009614,-0.03651805,-0.70866716,0.07150077,0.099989414,0.019413525,0.19267082
3,285931271,0.70101655,-0.036576863,-0.70861083,0.07148949,-0.012766166,-0.035419762,0.19569778
4,285947938,0.70101887,-0.036718063,-0.7086082,0.071419545,-0.07024565,-0.00460188,0.19729519
5,285964605,0.700983,-0.036894467,-0.7086383,0.07138297,-0.016207818,0.083952315,0.13968372
6,285981272,0.701025,-0.037115302,-0.7085925,0.07131132,-0.04392164,0.021787623,0.18000126
7,285997939,0.7010891,-0.03736032,-0.70853525,0.07112039,-0.079460196,-0.009499747,0.19168854
8,286014606,0.7011126,-0.037522934,-0.7085111,0.07104289,-0.071489275,-0.08920517,0.19623566
9,286031273,0.70108813,-0.037560157,-0.70852154,0.07116083,-0.07967254,-0.09014018,0.19331837
10,286047940,0.7009969,-0.037487064,-0.70859,0.071417496,-0.00741616,-0.063776545,0.21389484
11,286064607,0.7010161,-0.037353363,-0.70855474,0.07164802,0.030936874,-0.08452743,0.1893053
12,286081274,0.70106494,-0.03712252,-0.7084929,0.07190033,-0.009652183,-0.07153029,0.16993713
13,286097941,0.70109993,-0.03680307,-0.70843405,0.07230229,-0.016308846,-0.03860957,0.18333435
14,286114608,0.701065,-0.03644184,-0.7084379,0.07278569,-0.04070752,-0.026929455,0.21103859
15,286131275,0.7009926,-0.03613909,-0.7084907,0.073120065,-0.011302156,0.021659328,0.16945362
16,286147942,0.7009294,-0.03582604,-0.7085348,0.073451966,0.046292216,0.04584667,0.12439442
17,286164609,0.7009329,-0.035631195,-0.7085157,0.07369401,0.045199238,0.042972237,0.21524525
18,286181276,0.7009352,-0.035519805,-0.70850337,0.07384614,0.05759303,0.08768602,0.21786213
19,286197943,0.70101255,-0.035509583,-0.70842224,0.07389475,0.030612782,0.07102912,0.1901722
20,286214610,0.7011023,-0.035683785,-0.70834345,0.073715284,-0.002874824,0.07121711,0.17809868
