sep=,
DeviceTag:,tibiaLeft,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.6.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.4,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2021-03-19 14:39:42.178 +0800,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2021,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 285897937, 0.5637629, -0.4136876, -0.6716259, -0.24485411, 0.058727134, -0.07319826, 0.025298119
2, 285914604, 0.5638601, -0.4136914, -0.6715506, -0.24482985, -1.6092932E-4, -0.086951904, -0.024892807
3, 285931271, 0.5639694, -0.4136831, -0.67148435, -0.24477397, -0.053553257, -0.03948155, -0.031931877
4, 285947938, 0.564087, -0.4136466, -0.6714261, -0.24472459, -0.033499226, 0.0059610903, -0.017922401
5, 285964605, 0.5641278, -0.41372544, -0.671333, -0.24475254, -0.016364278, 0.03090022, -0.05995655
6, 285981272, 0.5641293, -0.41385666, -0.67122847, -0.2448141, -0.036796045, 0.0313953, -0.032759666
7, 285997939, 0.56407124, -0.41406494, -0.6710932, -0.24496645, -0.016664678, 0.039826434, -0.03641224
8, 286014606, 0.5640551, -0.41416454, -0.67104083, -0.24497874, -0.0815706, 0.012571934, -0.020342827
9, 286031273, 0.56410736, -0.41411546, -0.67106813, -0.24486633, -0.09222234, -0.018886175, -0.027247429
10, 286047940, 0.5642198, -0.4139523, -0.67115486, -0.24464563, -0.040523794, -0.041115656, -0.020778656
11, 286064607, 0.564348, -0.41376656, -0.6712443, -0.24441873, -0.046568923, -0.05252443, -0.027669907
12, 286081274, 0.5644779, -0.41358277, -0.6713312, -0.24419087, -0.049502756, -0.05119341, -0.011668205
13, 286097941, 0.5645926, -0.4134356, -0.6714043, -0.24397415, -0.038503237, -0.04079916, 0.0013751984
