PacketCounter_femur,SampleTimeFine_femur,Quat_W_femur,Quat_X_femur,Quat_Y_femur,Quat_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur,PacketCounter_tibia,SampleTimeFine_tibia,Quat_W_tibia,Quat_X_tibia,Quat_Y_tibia,Quat_Z_tibia,FreeAcc_X_tibia,FreeAcc_Y_tibia,FreeAcc_Z_tibia
1,846592252,-0.23644279999999998,-0.6963459,0.22111592,-0.6405506999999999,0.32851928,-0.15922515,0.044680595,1,846592252,0.58377486,0.116959095,-0.7950345,-0.115965046,-0.27177566,0.0059379567,0.051926612999999996
2,846608919,-0.23633586,-0.69627637,0.22103985,-0.64069206,0.25516412,-0.104156926,0.042895317,2,846608919,0.58380663,0.11703208,-0.795013,-0.11587898,-0.21641105,0.008122908,0.08279228
3,846625586,-0.23611626,-0.6962357,0.22089626,-0.6408666999999999,0.12156159999999999,-0.22004393,0.08266926,3,846625586,0.5837964,0.1171075,-0.79502696,-0.11575794,-0.13609973,0.042031948,0.09646702
4,846642253,-0.23582068,-0.69629,0.22070843,-0.64098126,0.05413808,-0.2506616,0.037121773,4,846642253,0.58375835,0.11722715,-0.7950653,-0.11556526,-0.088560246,0.03303809,0.10947799999999999
5,846658920,-0.23553477,-0.69643754,0.22055228,-0.64097977,0.034345392,-0.25450414,0.08296871,5,846658920,0.583701,0.11739055,-0.7951203,-0.11530998,-0.032387473,0.09441042,0.08636951400000001
6,846675587,-0.23536827,-0.6965712,0.22047985,-0.6409206999999999,-0.11360717,-0.22924617,0.10623073599999999,6,846675587,0.5836364,0.11756910400000001,-0.795187,-0.11499514400000001,0.00434241,0.057598617000000005,0.13414574
7,846692254,-0.23520017,-0.6966810999999999,0.22039144,-0.6408933000000001,-0.14282885,-0.20275508,0.12377453,7,846692254,0.58355385,0.11769424,-0.79526544,-0.11474374,0.03957297,0.040223558,0.123147964
8,846708921,-0.23506811,-0.69680494,0.22039673,-0.64080524,-0.112262845,-0.059715845,0.08534145,8,846708921,0.5834754,0.117755935,-0.7953429,-0.114542045,0.04094221,-0.03240362,0.14809418
9,846725588,-0.23504072,-0.69690436,0.220421,-0.64069897,-0.12961835,-0.0027146765000000002,0.124614716,9,846725588,0.58338845,0.11773979,-0.7954257,-0.11442652,0.030282876,-0.06516012,0.13428593
10,846742255,-0.23492466,-0.6969884,0.22040369,-0.6406561,-0.115521945,-0.05721764,0.10252571,10,846742255,0.58330077,0.11774327,-0.7955068000000001,-0.11430628,0.024008421000000002,-0.052189099999999995,0.11534405
