sep=,
DeviceTag:,47,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.6.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.4,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2021-03-24 15:25:31.470 +0800,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2021,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 846592252, -0.2364428, -0.6963459, 0.22111592, -0.6405507, 0.32851928, -0.15922515, 0.044680595
2, 846608919, -0.23633586, -0.69627637, 0.22103985, -0.64069206, 0.25516412, -0.104156926, 0.042895317
3, 846625586, -0.23611626, -0.6962357, 0.22089626, -0.6408667, 0.1215616, -0.22004393, 0.08266926
4, 846642253, -0.23582068, -0.69629, 0.22070843, -0.64098126, 0.05413808, -0.2506616, 0.037121773
5, 846658920, -0.23553477, -0.69643754, 0.22055228, -0.64097977, 0.034345392, -0.25450414, 0.08296871
6, 846675587, -0.23536827, -0.6965712, 0.22047985, -0.6409207, -0.11360717, -0.22924617, 0.106230736
7, 846692254, -0.23520017, -0.6966811, 0.22039144, -0.6408933, -0.14282885, -0.20275508, 0.12377453
8, 846708921, -0.23506811, -0.69680494, 0.22039673, -0.64080524, -0.112262845, -0.059715845, 0.08534145
9, 846725588, -0.23504072, -0.69690436, 0.220421, -0.64069897, -0.12961835, -0.0027146765, 0.124614716
10, 846742255, -0.23492466, -0.6969884, 0.22040369, -0.6406561, -0.115521945, -0.05721764, 0.10252571
11, 846758922, -0.23474558, -0.69713056, 0.22036524, -0.6405803, -0.02292293, -0.1264766, 0.059326172
12, 846775589, -0.23458946, -0.69730717, 0.22036923, -0.640444, -0.04171154, -0.22647697, 0.09110832
13, 846792256, -0.23457545, -0.6974225, 0.2204617, -0.6402915, -0.011554446, -0.19413687, 0.084742546
14, 846808923, -0.23461817, -0.69753265, 0.22064118, -0.640094, -0.0022932987, -0.1455845, 0.091576576
15, 846825590, -0.23462103, -0.6976455, 0.22076236, -0.6399281, -0.03617736, -0.107113555, 0.11056709
16, 846842257, -0.23462535, -0.6977021, 0.22082315, -0.6398439, -0.03801229, 0.021695843, 0.055488586
17, 846858924, -0.23446837, -0.6978061, 0.22075593, -0.63981116, -0.037300456, -0.02304061, 0.08449173
18, 846875591, -0.234345, -0.69787985, 0.22070073, -0.6397951, -0.1184061, -0.0035942001, 0.117503166
19, 846892258, -0.23427843, -0.6979769, 0.22071539, -0.6397085, -0.14992891, -0.03803073, 0.0862875
20, 846908925, -0.23418394, -0.69809586, 0.2207397, -0.63960487, -0.1789809, -0.10923637, 0.06486225
21, 846925592, -0.23411319, -0.69820696, 0.22075519, -0.6395042, -0.25185144, -0.14194246, 0.11094952
22, 846942259, -0.23405705, -0.6983027, 0.2207416, -0.63942474, -0.18053348, -0.158486, 0.08277702
23, 846958926, -0.23399028, -0.69839376, 0.22071384, -0.6393594, -0.12351008, -0.091933005, 0.12713432
24, 846975593, -0.233925, -0.6984514, 0.22070104, -0.63932484, -0.11159024, -0.05035445, 0.101919174
25, 846992260, -0.23383172, -0.6984744, 0.2207305, -0.63932353, -0.13209717, -0.1536208, 0.07944584
26, 847008927, -0.23385575, -0.6984286, 0.22081517, -0.63933563, -0.19723125, -0.13839811, 0.115345
27, 847025594, -0.23399718, -0.6983405, 0.22094537, -0.63933516, -0.21948072, -0.106998555, 0.09728813
28, 847042261, -0.23418027, -0.69826365, 0.22114766, -0.6392821, -0.2768469, -0.08956265, 0.11646366
29, 847058928, -0.23429358, -0.6982736, 0.22134945, -0.63915986, -0.29820573, -0.12639502, 0.056919098
30, 847075595, -0.23441534, -0.6983176, 0.22157206, -0.63899, -0.20652105, -0.06536178, 0.06547642
31, 847092262, -0.23456855, -0.6983519, 0.22179128, -0.6388203, -0.19381166, -0.1731232, 0.10147953
32, 847108929, -0.23474392, -0.69833076, 0.22197667, -0.63871455, -0.06938172, -0.09509571, 0.09985256
33, 847125596, -0.23484679, -0.6983131, 0.22211663, -0.63864714, -0.079870455, -0.09656251, 0.07570171
34, 847142263, -0.23493777, -0.6983038, 0.22219191, -0.63859767, -0.07143184, -0.054926857, 0.08970547
35, 847158930, -0.23499212, -0.69836116, 0.2222929, -0.63848, -0.12937595, -0.08956052, 0.07076645
36, 847175597, -0.23496765, -0.6984622, 0.22236167, -0.6383543, -0.14375839, -0.1582893, 0.08158207
37, 847192264, -0.2350377, -0.69856143, 0.22251622, -0.6381662, -0.17847487, -0.16398989, 0.10578632
38, 847208931, -0.23519364, -0.6985932, 0.22271763, -0.6380037, -0.0992055, -0.14380947, 0.08973503
39, 847225598, -0.23538937, -0.69862866, 0.22296536, -0.63780606, -0.07437287, -0.13832915, 0.089310646
40, 847242265, -0.23545316, -0.6986724, 0.22308254, -0.6376936, -0.008565128, -0.097396776, 0.08361721
41, 847258932, -0.23545618, -0.69872767, 0.22315022, -0.63760835, 0.0031485711, -0.068300866, 0.11587715
42, 847275599, -0.23548187, -0.6988209, 0.2232654, -0.63745636, -0.07188216, -0.11336376, 0.106422424
43, 847292266, -0.2354366, -0.69896907, 0.22338472, -0.6372688, -0.16950652, -0.07618193, 0.07633495
44, 847308933, -0.23542455, -0.6990763, 0.22348952, -0.6371189, -0.16368932, -0.12287334, 0.1068449
45, 847325600, -0.23554626, -0.69913954, 0.22373204, -0.63691926, -0.19420063, -0.11235952, 0.1199379
46, 847342267, -0.23570964, -0.6991836, 0.22396131, -0.63672966, -0.22001794, -0.14405209, 0.1105957
47, 847358934, -0.23585437, -0.69919604, 0.22415371, -0.6365949, -0.14693016, -0.1076121, 0.09954071
48, 847375601, -0.23603608, -0.69919366, 0.22437143, -0.6364534, -0.09261125, -0.028232591, 0.10981274
49, 847392268, -0.23607244, -0.69923186, 0.22448519, -0.63635784, 0.02638548, -0.11803619, 0.052194595
50, 847408935, -0.2361738, -0.69926435, 0.2247143, -0.6362037, -0.0840126, 0.004616325, 0.069211006
51, 847425602, -0.2362191, -0.6992816, 0.22483514, -0.63612527, -0.08944167, -0.10105982, 0.094610214
52, 847442269, -0.23633827, -0.6993401, 0.2250387, -0.6359446, -0.14353722, -0.11013679, 0.12064743
53, 847458936, -0.23653094, -0.6993652, 0.22525814, -0.63576776, -0.20664522, -0.11442131, 0.10457897
54, 847475603, -0.23669688, -0.699377, 0.22539987, -0.6356426, -0.15001743, -0.07626765, 0.09896088
55, 847492270, -0.23679021, -0.6994333, 0.22550519, -0.63550866, -0.09637314, -0.022325704, 0.08692169
56, 847508937, -0.23679915, -0.69953907, 0.2256111, -0.6353513, -0.09527944, -0.059819777, 0.09070206
57, 847525604, -0.23682468, -0.69967324, 0.22570245, -0.6351615, -0.05701251, -0.006840614, 0.103767395
58, 847542271, -0.2367588, -0.69980997, 0.22568971, -0.63504004, -0.037934788, -0.06611603, 0.10219002
59, 847558938, -0.23668417, -0.69989914, 0.22567342, -0.63497525, -0.077497475, -0.08022841, 0.089533806
60, 847575605, -0.23669522, -0.69998085, 0.22566849, -0.63488275, -0.16960196, -0.12580885, 0.1048851
61, 847592272, -0.23667634, -0.7000454, 0.22564389, -0.6348275, -0.13819465, -0.14835818, 0.07451248
62, 847608939, -0.23674092, -0.7001021, 0.22569227, -0.63472366, -0.115625486, -0.07879212, 0.11261368
63, 847625606, -0.2367467, -0.700212, 0.22574818, -0.6345805, -0.09110824, -0.119752206, 0.09234333
64, 847642273, -0.23678164, -0.7003199, 0.22584727, -0.634413, -0.0753009, -0.13554373, 0.103731155
65, 847658940, -0.23686458, -0.7003631, 0.22597276, -0.6342897, -0.10406713, -0.10312676, 0.10848999
66, 847675607, -0.23691073, -0.70038646, 0.22607052, -0.6342118, -0.11263416, -0.11741884, 0.12598515
67, 847692274, -0.23697023, -0.70037717, 0.2261285, -0.634179, -0.030931454, -0.09493277, 0.089990616
68, 847708941, -0.23695482, -0.70038074, 0.226175, -0.6341644, -0.07602184, -0.10783427, 0.12286663
69, 847725608, -0.236994, -0.70036775, 0.22622961, -0.6341446, -0.17663653, -0.07067871, 0.08046627
70, 847742275, -0.2370148, -0.7004355, 0.22627303, -0.63404644, -0.17304692, -0.08047841, 0.07942104
71, 847758942, -0.23702712, -0.7005432, 0.22634526, -0.6338971, -0.17035995, -0.052360255, 0.076685905
72, 847775609, -0.23700002, -0.70070094, 0.2263576, -0.6337285, -0.12152316, -0.08907483, 0.09142399
73, 847792276, -0.23702003, -0.7008141, 0.22639763, -0.6335814, -0.12910214, -0.075433835, 0.11067867
74, 847808943, -0.23702444, -0.70088816, 0.22637516, -0.63350594, -0.12541083, -0.08570224, 0.117510796
75, 847825610, -0.23697612, -0.7009458, 0.22632898, -0.6334768, -0.17049205, -0.081732094, 0.11556053
76, 847842277, -0.23690055, -0.7010089, 0.22627369, -0.6334551, -0.16741814, -0.109307446, 0.07095814
77, 847858944, -0.23680216, -0.70115995, 0.22625177, -0.6333325, -0.17765155, -0.11956792, 0.07007027
78, 847875611, -0.2367164, -0.70132077, 0.22624734, -0.63318807, -0.12708159, -0.1150391, 0.104530334
79, 847892278, -0.23667371, -0.70146537, 0.2262626, -0.63303834, -0.14656375, -0.066654466, 0.1151247
80, 847908945, -0.23663847, -0.7015688, 0.22631073, -0.6329196, -0.14401604, -0.14022532, 0.109025955
81, 847925612, -0.23669234, -0.7015989, 0.22637826, -0.63284194, -0.17003447, -0.11097776, 0.11889267
82, 847942279, -0.23680413, -0.701567, 0.22648267, -0.6327981, -0.1722915, -0.12698531, 0.08400631
