sep=,
DeviceTag:,46,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.6.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.4,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2021-03-24 15:25:31.472 +0800,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2021,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 846592252, 0.58377486, 0.116959095, -0.7950345, -0.115965046, -0.27177566, 0.0059379567, 0.051926613
2, 846608919, 0.58380663, 0.11703208, -0.795013, -0.11587898, -0.21641105, 0.008122908, 0.08279228
3, 846625586, 0.5837964, 0.1171075, -0.79502696, -0.11575794, -0.13609973, 0.042031948, 0.09646702
4, 846642253, 0.58375835, 0.11722715, -0.7950653, -0.11556526, -0.088560246, 0.03303809, 0.109478
5, 846658920, 0.583701, 0.11739055, -0.7951203, -0.11530998, -0.032387473, 0.09441042, 0.086369514
6, 846675587, 0.5836364, 0.117569104, -0.795187, -0.114995144, 0.00434241, 0.057598617, 0.13414574
7, 846692254, 0.58355385, 0.11769424, -0.79526544, -0.11474374, 0.03957297, 0.040223558, 0.123147964
8, 846708921, 0.5834754, 0.117755935, -0.7953429, -0.114542045, 0.04094221, -0.03240362, 0.14809418
9, 846725588, 0.58338845, 0.11773979, -0.7954257, -0.11442652, 0.030282876, -0.06516012, 0.13428593
10, 846742255, 0.58330077, 0.11774327, -0.7955068, -0.11430628, 0.024008421, -0.0521891, 0.11534405
11, 846758922, 0.5831863, 0.11767283, -0.79560924, -0.11424997, -0.019707138, 0.06686809, 0.09638882
12, 846775589, 0.5830388, 0.11758136, -0.7957347, -0.11422271, -0.067359656, 0.04104279, 0.11530304
13, 846792256, 0.58287704, 0.11754467, -0.7958717, -0.1141317, -0.05230561, 0.010723369, 0.09893036
14, 846808923, 0.58270794, 0.11755101, -0.79601556, -0.11398559, -0.05095693, 0.029917879, 0.112698555
15, 846825590, 0.58251524, 0.11750913, -0.79617834, -0.11387675, -0.051977936, -0.029230354, 0.093997
16, 846842257, 0.58231485, 0.11750126, -0.7963438, -0.11375303, -0.04193103, -0.05556968, 0.09790707
17, 846858924, 0.5821101, 0.117542446, -0.7965095, -0.11359702, -0.006573069, -0.0407097, 0.1029129
18, 846875591, 0.5819015, 0.117568366, -0.7966768, -0.11346613, 0.018021403, -0.03953352, 0.13333797
19, 846892258, 0.5816975, 0.11761024, -0.79683626, -0.113348566, 0.06407043, -0.039839227, 0.14410782
20, 846908925, 0.5815044, 0.11765592, -0.79698485, -0.11324748, 0.098038144, -0.0071096676, 0.112724304
21, 846925592, 0.58132285, 0.11768835, -0.7971265, -0.113149844, 0.108701505, 0.04291298, 0.12205219
22, 846942259, 0.58113134, 0.1176837, -0.79727393, -0.11309872, 0.05532814, 0.029569631, 0.120373726
23, 846958926, 0.58095866, 0.117715925, -0.7974057, -0.11302401, 0.01472548, -0.010393911, 0.13198185
24, 846975593, 0.5807827, 0.117729194, -0.7975435, -0.11294142, 0.011893124, -0.0041506914, 0.109015465
25, 846992260, 0.5805959, 0.11772455, -0.7976887, -0.11288134, 0.017893553, 0.014911499, 0.11640835
26, 847008927, 0.5804142, 0.11767421, -0.79782826, -0.11288161, 0.062411077, 0.026293281, 0.14677429
27, 847025594, 0.58023334, 0.11763178, -0.7979681, -0.11286785, 0.10216285, 0.012120325, 0.14463615
28, 847042261, 0.58008546, 0.11752283, -0.7980832, -0.112927824, 0.16176616, 0.019842697, 0.15706825
29, 847058928, 0.5799658, 0.11738539, -0.7981792, -0.11300712, 0.15612648, -0.009045737, 0.14932442
30, 847075595, 0.5798534, 0.11721049, -0.79826814, -0.11313687, 0.13625081, 0.01988796, 0.12558079
31, 847092262, 0.57976097, 0.11704503, -0.7983435, -0.11325022, 0.05226046, 0.039847944, 0.123472214
32, 847108929, 0.57966965, 0.11691574, -0.79841644, -0.113337025, 0.0036463903, 0.016744195, 0.12213135
33, 847125596, 0.5795848, 0.116787024, -0.7984896, -0.11338874, -0.0058757085, -0.0048691737, 0.105885506
34, 847142263, 0.57950723, 0.11665937, -0.79855853, -0.113430366, 0.013872555, 0.009889945, 0.11476421
35, 847158930, 0.5794302, 0.11653918, -0.7986282, -0.113457575, 0.037797827, -0.007864135, 0.1316204
36, 847175597, 0.5793552, 0.1164425, -0.7986929, -0.11348383, 0.05972311, 0.019891256, 0.13526058
37, 847192264, 0.5792809, 0.11630917, -0.7987623, -0.11351065, 0.03842724, 0.04634927, 0.12815857
38, 847208931, 0.57920086, 0.11613112, -0.79883504, -0.11359019, 0.014232411, 0.009434426, 0.12655449
39, 847225598, 0.57912576, 0.116010986, -0.7989042, -0.11360936, -0.031549405, 0.006805092, 0.10929489
