PacketCounter_femur,SampleTimeFine_femur,Quat_W_femur,Quat_X_femur,Quat_Y_femur,Quat_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur,PacketCounter_tibia,SampleTimeFine_tibia,Quat_W_tibia,Quat_X_tibia,Quat_Y_tibia,Quat_Z_tibia,FreeAcc_X_tibia,FreeAcc_Y_tibia,FreeAcc_Z_tibia
1.0,994078535.0,-0.41655117,-0.6036858,0.350217,-0.5825779999999999,-0.014032143,-0.036695685,0.08229828,3,994078535,0.51181406,-0.15887147,-0.7824886,-0.31704623,0.015713856000000002,0.0035590527000000003,0.12232876
2.0,994095202.0,-0.41651446,-0.6036892,0.35021058,-0.5826044,-0.06328199,-0.009164031999999999,0.12355995,4,994095202,0.511821,-0.15886129999999998,-0.78249073,-0.3170348,0.03612461,-0.00823567,0.11725521
3.0,994111869.0,-0.41651446,-0.6037235,0.35022554,-0.5825599,-0.07242636,-0.0008455495,0.075118065,5,994111869,0.5117908,-0.15896179,-0.7824656999999999,-0.3170948,0.026672695,-0.026068987000000002,0.10609245
4.0,994128536.0,-0.41650784,-0.6037906999999999,0.35026982,-0.5824683,-0.04719029,0.01033658,0.071243286,6,994128536,0.5118045999999999,-0.1589734,-0.78245044,-0.31710422,0.028114353999999998,-0.012785668,0.12436104
5.0,994145203.0,-0.41648054,-0.6038564999999999,0.35029572,-0.5824041,-0.06496527,-0.0206821,0.12223816,7,994145203,0.51185185,-0.15892385,-0.7824348000000001,-0.31709155,0.00909653,-0.016755704,0.13031769
6.0,994161870.0,-0.41645519999999997,-0.6038944,0.35033906,-0.58235675,-0.063548535,-0.016722346000000003,0.103307724,8,994161870,0.51185966,-0.15894894,-0.7824038000000001,-0.31714296,0.038937743999999996,-0.014277561000000001,0.11873531
7.0,994178537.0,-0.41652286,-0.60388833,0.35041323,-0.58227015,-0.044772327,-0.022503508,0.07830429,9,994178537,0.5118798,-0.15897289,-0.7823661999999999,-0.31719148,-0.0023014273,0.0007896067999999999,0.1158514
8.0,994195204.0,-0.41662443,-0.6038518,0.35047925,-0.5821957,-0.015474584,-0.03393977,0.11194134,10,994195204,0.51189613,-0.15900275,-0.7823253000000001,-0.3172509,-0.010969568999999998,5.7554585e-06,0.11753273
9.0,994211871.0,-0.41666704,-0.6038018,0.35048320000000005,-0.58221465,-0.034044266000000004,-0.039427462999999996,0.11545277,11,994211871,0.51185966,-0.15915403,-0.7822597,-0.31739584,-0.031070089,0.018144503,0.126297
10.0,994228538.0,-0.41670066,-0.60370773,0.35046765,-0.58229744,-0.014243587,-0.008231983,0.09972477,12,994228538,0.51186,-0.15917662,-0.7822265,-0.31746548,-0.0073254136,0.012250745,0.11906433
11.0,994245205.0,-0.41666916,-0.60368025,0.35039696,-0.58239096,-0.008720246,-0.061663873,0.07506847400000001,13,994245205,0.51190597,-0.15907879999999996,-0.7822300999999999,-0.31743178,0.015754534,0.013262811999999999,0.12132739999999999
12.0,994261872.0,-0.41672304,-0.60367656,0.35044608,-0.5823267,-0.023927063,0.0012952576,0.066337585,14,994261872,0.51188964,-0.15913159,-0.78220016,-0.31750515,-0.025745563,-0.0045649726,0.12947845
13.0,994278539.0,-0.41680187,-0.60369754,0.350485,-0.5822251,0.007962425,-0.025424152999999998,0.09640789,15,994278539,0.51190794,-0.15912417,-0.78217953,-0.31753000000000003,-0.035736144,-0.018518608,0.11362839
14.0,994295206.0,-0.41687766,-0.60370463,0.35056108,-0.5821177,0.018951664,-0.027577251,0.07191944,16,994295206,0.5119007999999999,-0.15914178,-0.78215873,-0.31758400000000003,-0.0030026732,0.020936571,0.13217545
15.0,994311873.0,-0.41703013,-0.603683,0.3506804,-0.58195907,-0.03755722,0.0012556958,0.10754204,17,994311873,0.5118518,-0.15925887,-0.7821176,-0.31770554,-0.044181358,0.016925743,0.10027313
16.0,994328540.0,-0.41699369999999997,-0.60371953,0.35068938,-0.5819419,-0.011387762,-0.053681552,0.06612968400000001,18,994328540,0.5118175,-0.15931231,-0.78210276,-0.31777057,-0.035891265,0.031607136,0.11266518
17.0,994345207.0,-0.41694415,-0.6037754,0.350657,-0.5819389,0.055083204000000004,-0.0377196,0.10096264,19,994345207,0.51178896,-0.15932502,-0.78209895,-0.31781974,-0.038403995,0.03026114,0.10909271
18.0,994361874.0,-0.41698897,-0.6037515,0.35064328,-0.58193994,-0.0024600953,-0.03987404,0.14662075,20,994361874,0.5117425999999999,-0.15938744,-0.78209275,-0.3178783,-0.046399052999999996,-0.006568710300000001,0.11817455
19.0,994378541.0,-0.41706195,-0.603641,0.35061312,-0.5820204000000001,-0.060934212,0.02864162,0.10376072,21,994378541,0.5117474,-0.15934616,-0.78210104,-0.31787103,-0.0028256509,0.0069047622,0.12470913
20.0,994395208.0,-0.41705190000000003,-0.60358393,0.35051787,-0.58214414,-0.09792617,-0.06172556,0.094573975,22,994395208,0.5117229,-0.15935504,-0.7820971999999999,-0.31791532,0.069221966,-0.01244386,0.14173412
