sep=,
DeviceTag:,47,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.6.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.4,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2021-03-24 15:27:58.956 +0800,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2021,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 994078535, -0.41655117, -0.6036858, 0.350217, -0.582578, -0.014032143, -0.036695685, 0.08229828
2, 994095202, -0.41651446, -0.6036892, 0.35021058, -0.5826044, -0.06328199, -0.009164032, 0.12355995
3, 994111869, -0.41651446, -0.6037235, 0.35022554, -0.5825599, -0.07242636, -8.455495E-4, 0.075118065
4, 994128536, -0.41650784, -0.6037907, 0.35026982, -0.5824683, -0.04719029, 0.01033658, 0.071243286
5, 994145203, -0.41648054, -0.6038565, 0.35029572, -0.5824041, -0.06496527, -0.0206821, 0.12223816
6, 994161870, -0.4164552, -0.6038944, 0.35033906, -0.58235675, -0.063548535, -0.016722346, 0.103307724
7, 994178537, -0.41652286, -0.60388833, 0.35041323, -0.58227015, -0.044772327, -0.022503508, 0.07830429
8, 994195204, -0.41662443, -0.6038518, 0.35047925, -0.5821957, -0.015474584, -0.03393977, 0.11194134
9, 994211871, -0.41666704, -0.6038018, 0.3504832, -0.58221465, -0.034044266, -0.039427463, 0.11545277
10, 994228538, -0.41670066, -0.60370773, 0.35046765, -0.58229744, -0.014243587, -0.008231983, 0.09972477
11, 994245205, -0.41666916, -0.60368025, 0.35039696, -0.58239096, -0.008720246, -0.061663873, 0.075068474
12, 994261872, -0.41672304, -0.60367656, 0.35044608, -0.5823267, -0.023927063, 0.0012952576, 0.066337585
13, 994278539, -0.41680187, -0.60369754, 0.350485, -0.5822251, 0.007962425, -0.025424153, 0.09640789
14, 994295206, -0.41687766, -0.60370463, 0.35056108, -0.5821177, 0.018951664, -0.027577251, 0.07191944
15, 994311873, -0.41703013, -0.603683, 0.3506804, -0.58195907, -0.03755722, 0.0012556958, 0.10754204
16, 994328540, -0.4169937, -0.60371953, 0.35068938, -0.5819419, -0.011387762, -0.053681552, 0.066129684
17, 994345207, -0.41694415, -0.6037754, 0.350657, -0.5819389, 0.055083204, -0.0377196, 0.10096264
18, 994361874, -0.41698897, -0.6037515, 0.35064328, -0.58193994, -0.0024600953, -0.03987404, 0.14662075
19, 994378541, -0.41706195, -0.603641, 0.35061312, -0.5820204, -0.060934212, 0.02864162, 0.10376072
20, 994395208, -0.4170519, -0.60358393, 0.35051787, -0.58214414, -0.09792617, -0.06172556, 0.094573975
21, 994411875, -0.41708517, -0.6036057, 0.3505626, -0.58207077, -0.061746348, -0.010952582, 0.086634636
22, 994428542, -0.4172076, -0.60362905, 0.35068408, -0.58188564, -0.050701343, -0.0047036065, 0.08797741
23, 994445209, -0.41730267, -0.6036746, 0.35075396, -0.5817281, 0.019829845, 0.0092576835, 0.0692997
24, 994461876, -0.41735697, -0.60367256, 0.35081697, -0.5816533, -0.082717896, -0.067488395, 0.09396362
25, 994478543, -0.41731372, -0.6037444, 0.35081375, -0.58161163, -0.007415266, -0.03640892, 0.100131035
26, 994495210, -0.4173814, -0.60374254, 0.35090283, -0.5815112, -0.007566249, -0.026986955, 0.100494385
27, 994511877, -0.4173715, -0.6037979, 0.35091123, -0.58145565, 0.050405413, -0.035424568, 0.08851814
28, 994528544, -0.4173254, -0.6038842, 0.35090244, -0.5814045, 0.024013003, -0.094205126, 0.09237957
29, 994545211, -0.417401, -0.6039059, 0.35097474, -0.58128405, -0.032870263, -0.04350255, 0.1417036
30, 994561878, -0.41755244, -0.6038239, 0.35107282, -0.5812013, -0.06383798, -0.07226129, 0.104245186
31, 994578545, -0.4176907, -0.6037603, 0.35119238, -0.5810959, -0.010415704, -0.0061378893, 0.058338165
32, 994595212, -0.41777724, -0.6037358, 0.35121295, -0.5810466, -0.034033984, 0.0112214675, 0.08810234
33, 994611879, -0.41778833, -0.60375184, 0.3512139, -0.58102125, -0.06734457, -0.014317793, 0.09689236
34, 994628546, -0.41777653, -0.6037728, 0.35117847, -0.58102953, -0.009595076, -0.044940855, 0.08976078
35, 994645213, -0.41776365, -0.60378295, 0.3510858, -0.58108413, 0.061873302, -0.016113272, 0.104034424
36, 994661880, -0.41774532, -0.60376364, 0.35103306, -0.5811492, -0.062751934, -0.05477319, 0.104911804
37, 994678547, -0.41766846, -0.603794, 0.35097876, -0.58120567, -0.072198264, -0.11083337, 0.085840225
38, 994695214, -0.4176151, -0.60385364, 0.35095018, -0.58119935, -0.037969153, -0.04264381, 0.08847046
39, 994711881, -0.4176469, -0.6038553, 0.35098997, -0.5811508, -0.02002229, -0.012649939, 0.11045456
40, 994728548, -0.4177052, -0.6038411, 0.35105065, -0.58108705, -0.066651, 0.009959514, 0.089984894
41, 994745215, -0.41773987, -0.6038115, 0.35105348, -0.58109105, -0.08417006, -0.021491665, 0.102622986
42, 994761882, -0.41773814, -0.60379577, 0.35107344, -0.58109653, -0.024871515, -0.055709932, 0.08712292
43, 994778549, -0.41767567, -0.6038577, 0.35106623, -0.5810816, -0.009817472, -0.084058754, 0.082704544
