sep=,
DeviceTag:,46,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.6.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.4,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2021-03-24 15:27:58.957 +0800,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2021,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 994045201, 0.51182485, -0.15882017, -0.7824829, -0.31706855, -0.010400505, 0.0048531927, 0.118003845
2, 994061868, 0.5118067, -0.15887628, -0.78247863, -0.31708035, -0.02393913, 0.022352636, 0.121193886
3, 994078535, 0.51181406, -0.15887147, -0.7824886, -0.31704623, 0.015713856, 0.0035590527, 0.12232876
4, 994095202, 0.511821, -0.1588613, -0.78249073, -0.3170348, 0.03612461, -0.00823567, 0.11725521
5, 994111869, 0.5117908, -0.15896179, -0.7824657, -0.3170948, 0.026672695, -0.026068987, 0.10609245
6, 994128536, 0.5118046, -0.1589734, -0.78245044, -0.31710422, 0.028114354, -0.012785668, 0.12436104
7, 994145203, 0.51185185, -0.15892385, -0.7824348, -0.31709155, 0.00909653, -0.016755704, 0.13031769
8, 994161870, 0.51185966, -0.15894894, -0.7824038, -0.31714296, 0.038937744, -0.014277561, 0.11873531
9, 994178537, 0.5118798, -0.15897289, -0.7823662, -0.31719148, -0.0023014273, 7.896068E-4, 0.1158514
10, 994195204, 0.51189613, -0.15900275, -0.7823253, -0.3172509, -0.010969569, 5.7554585E-6, 0.11753273
11, 994211871, 0.51185966, -0.15915403, -0.7822597, -0.31739584, -0.031070089, 0.018144503, 0.126297
12, 994228538, 0.51186, -0.15917662, -0.7822265, -0.31746548, -0.0073254136, 0.012250745, 0.11906433
13, 994245205, 0.51190597, -0.1590788, -0.7822301, -0.31743178, 0.015754534, 0.013262812, 0.1213274
14, 994261872, 0.51188964, -0.15913159, -0.78220016, -0.31750515, -0.025745563, -0.0045649726, 0.12947845
15, 994278539, 0.51190794, -0.15912417, -0.78217953, -0.31753, -0.035736144, -0.018518608, 0.11362839
16, 994295206, 0.5119008, -0.15914178, -0.78215873, -0.317584, -0.0030026732, 0.020936571, 0.13217545
17, 994311873, 0.5118518, -0.15925887, -0.7821176, -0.31770554, -0.044181358, 0.016925743, 0.10027313
18, 994328540, 0.5118175, -0.15931231, -0.78210276, -0.31777057, -0.035891265, 0.031607136, 0.11266518
19, 994345207, 0.51178896, -0.15932502, -0.78209895, -0.31781974, -0.038403995, 0.03026114, 0.10909271
20, 994361874, 0.5117426, -0.15938744, -0.78209275, -0.3178783, -0.046399053, -0.0065687103, 0.11817455
21, 994378541, 0.5117474, -0.15934616, -0.78210104, -0.31787103, -0.0028256509, 0.0069047622, 0.12470913
22, 994395208, 0.5117229, -0.15935504, -0.7820972, -0.31791532, 0.069221966, -0.01244386, 0.14173412
23, 994411875, 0.5116839, -0.15941884, -0.7820677, -0.31801847, 0.055526875, -0.034805994, 0.13596725
24, 994428542, 0.5116169, -0.15959685, -0.7820098, -0.31817964, 0.022147005, -0.017745309, 0.11386776
25, 994445209, 0.511531, -0.15980697, -0.78194356, -0.31837514, -0.02323596, -0.0052675856, 0.11072159
26, 994461876, 0.51154226, -0.15975063, -0.78194046, -0.3183925, -0.0051437886, 0.03003194, 0.10660267
27, 994478543, 0.51157683, -0.15964088, -0.7819472, -0.31837547, 0.01513451, 0.025028646, 0.119888306
28, 994495210, 0.51154584, -0.15969725, -0.78192246, -0.3184577, -0.034409374, 0.02753769, 0.11518383
29, 994511877, 0.5115283, -0.15971118, -0.78191304, -0.31850186, -0.034057114, 0.048506614, 0.09298515
30, 994528544, 0.5114962, -0.15973894, -0.78191155, -0.31854355, -0.059255965, 0.044563062, 0.10588932
31, 994545211, 0.511448, -0.15978557, -0.78191376, -0.3185921, -0.023083525, 0.057695568, 0.12493515
32, 994561878, 0.51139104, -0.1598636, -0.7819065, -0.3186621, 0.020049112, 0.008648611, 0.10894394
33, 994578545, 0.51131696, -0.159954, -0.78190446, -0.31874067, 6.5310486E-4, -0.012989791, 0.11645985
34, 994595212, 0.51125014, -0.16005887, -0.7818939, -0.318821, 0.016784482, -0.023251662, 0.1164999
35, 994611879, 0.5111939, -0.16012807, -0.781895, -0.31887418, 0.027760755, -0.0046991366, 0.10902977
36, 994628546, 0.5111914, -0.16008365, -0.7819159, -0.31884876, 0.009120669, -3.9690314E-4, 0.10931206
37, 994645213, 0.511181, -0.16007338, -0.7819287, -0.3188392, -0.049496945, 0.0018182779, 0.12240982
38, 994661880, 0.5112153, -0.15994883, -0.78197414, -0.3187353, 0.009945433, 0.0151248425, 0.11223698
39, 994678547, 0.51121914, -0.15989318, -0.7820064, -0.31867832, 0.027438004, 0.032614786, 0.12555218
40, 994695214, 0.51122403, -0.15983637, -0.7820371, -0.31862345, 0.0017585999, -0.009044899, 0.13013744
41, 994711881, 0.511213, -0.15983206, -0.7820571, -0.31859416, 0.024859112, 3.8695682E-4, 0.12201309
42, 994728548, 0.51121974, -0.15979186, -0.78207314, -0.31856388, 0.017471561, -0.025724944, 0.10101986
43, 994745215, 0.511202, -0.15983772, -0.78206754, -0.3185833, 0.022060711, -0.0065727364, 0.1344614
44, 994761882, 0.5112035, -0.15983902, -0.7820744, -0.31856334, 0.00645416, 0.010319705, 0.11699104
45, 994778549, 0.51118594, -0.15986416, -0.78208745, -0.31854686, -0.008899839, 0.045260254, 0.11164284
46, 994795216, 0.5111651, -0.15988854, -0.7821054, -0.31852397, -0.056768715, 0.06181586, 0.10308933
47, 994811883, 0.5111101, -0.1599986, -0.7821146, -0.31853455, -0.040039215, 0.035575382, 0.11095238
48, 994828550, 0.51109326, -0.16000703, -0.78215456, -0.31845912, 0.011438499, 0.058762003, 0.104696274
49, 994845217, 0.51114243, -0.15982655, -0.7822263, -0.31829447, -0.036033865, -0.00856239, 0.11987877
50, 994861884, 0.51113945, -0.1597773, -0.78227943, -0.31819376, -0.018954346, -0.031608757, 0.11784744
51, 994878551, 0.51115805, -0.15967824, -0.7823376, -0.31807005, 0.05148934, 0.021887058, 0.11897564
52, 994895218, 0.51110053, -0.15975513, -0.78235745, -0.31807512, 0.021459926, -0.010349879, 0.12458134
53, 994911885, 0.5110543, -0.15980065, -0.78238046, -0.31806985, -0.024001269, -0.014915131, 0.12227726
54, 994928552, 0.5110041, -0.15985192, -0.78241444, -0.3180413, -2.0205571E-4, 0.014923513, 0.12718105
55, 994945219, 0.5109305, -0.15994623, -0.7824327, -0.31806725, -0.042752665, 0.0060282005, 0.12998009
56, 994961886, 0.5109505, -0.15982346, -0.7824993, -0.317933, -0.036908247, -0.0032888255, 0.10291958
57, 994978553, 0.5109155, -0.1598138, -0.78255355, -0.3178604, 0.021441597, 0.0053297784, 0.12702751
58, 994995220, 0.51086986, -0.15985778, -0.782588, -0.31782672, 0.01920468, 0.0071836505, 0.12364006
59, 995011887, 0.5108349, -0.15985022, -0.7826399, -0.3177594, -0.028375864, 0.017546326, 0.11924839
60, 995028554, 0.5107905, -0.1598493, -0.78269815, -0.31768745, -0.0045972145, 0.023034183, 0.10765648
61, 995045221, 0.5107275, -0.15990466, -0.7827374, -0.31766406, 6.9069647E-4, -0.010421245, 0.14715958
62, 995061888, 0.5106423, -0.16000503, -0.78276443, -0.31768388, 0.067734264, -0.051160607, 0.13136292
63, 995078555, 0.51057744, -0.1600885, -0.78278154, -0.31770375, 0.02264678, -0.050590314, 0.12250519
64, 995095222, 0.5105746, -0.16005002, -0.7828144, -0.31764734, -0.0062901014, -0.042106822, 0.11201286
65, 995111889, 0.5105159, -0.1601568, -0.78281194, -0.31769386, 0.029979793, 0.012628091, 0.14035225
66, 995128556, 0.51044196, -0.16027409, -0.78280544, -0.3177693, 0.0013357134, -0.011443584, 0.13233757
67, 995145223, 0.5104198, -0.16028345, -0.7828214, -0.31776103, 0.017829182, -0.018583817, 0.12132549
