PacketCounter_femur,SampleTimeFine_femur,Quat_W_femur,Quat_X_femur,Quat_Y_femur,Quat_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur,PacketCounter_tibia,SampleTimeFine_tibia,Quat_W_tibia,Quat_X_tibia,Quat_Y_tibia,Quat_Z_tibia,FreeAcc_X_tibia,FreeAcc_Y_tibia,FreeAcc_Z_tibia
1,1045143092,0.37589859999999997,-0.4904094,-0.5380111999999999,-0.57336247,0.08087347,0.14304036,0.17845439999999999,1,1045143092,-0.10916858,-0.69218886,0.08556524,-0.70826226,0.22119074,-0.008257407,0.048430443
2,1045159759,0.37614334,-0.49051875,-0.53809124,-0.57303303,0.07860816,0.11156716,0.15138912,2,1045159759,-0.108366184,-0.69220877,0.08566212,-0.7083543000000001,0.22968832,-0.046658777,0.044454575
3,1045176426,0.37661880000000003,-0.49040613,-0.5383069,-0.5726145,0.061489977,0.056159865,0.18634701,3,1045176426,-0.107413776,-0.69211507,0.08581608,-0.70857227,0.16888726,-0.10577796,0.09762955
4,1045193093,0.37721637,-0.49014038,-0.53848493,-0.57228136,0.013107694,0.007577089,0.23904514,4,1045193093,-0.10630989,-0.69191223,0.08602681,-0.70891136,0.16786215,-0.01453365,0.124863625
5,1045209760,0.37823429999999997,-0.48969376,-0.53860384,-0.5718799,-0.1803175,0.04521913,0.17499065,5,1045209760,-0.105257854,-0.69166845,0.08611845,-0.709295,0.18926214,0.21744955,0.01688385
6,1045226427,0.3793272,-0.48941463,-0.5387035,-0.57130075,-0.07320027,-0.020880915,0.09579277,6,1045226427,-0.10438423599999999,-0.69131494,0.08602209,-0.7097803,0.056535136,-0.038777597000000004,0.029259682000000002
7,1045243094,0.38034004,-0.4892103,-0.5386473,-0.5708551,0.1268626,-0.016808735,0.18038177,7,1045243094,-0.10351048,-0.6908678,0.08595898,-0.7103510000000001,0.0021197968,-0.2431593,0.042512894
8,1045259761,0.38124278,-0.48898157,-0.5384698,-0.5706166,0.27052578,-0.008207396,0.2515297,8,1045259761,-0.10287215,-0.69043785,0.08625456,-0.7108257,-0.04141489,-0.3169916,0.05661106
9,1045276428,0.38210732,-0.48862082,-0.5383076,-0.5704999,0.24956205,0.028695486,0.23086739,9,1045276428,-0.10221722,-0.68998766,0.086712256,-0.71130145,0.030780695,-0.24259560000000002,0.06031704
10,1045293095,0.3828829,-0.48823829999999996,-0.5381849,-0.5704233,0.029992757000000002,0.016336786000000002,0.14381695,10,1045293095,-0.10139087599999999,-0.68958193,0.086921506,-0.7117875,0.05115984,0.015878583999999998,-0.01156044
11,1045309762,0.38365728,-0.4878734,-0.5381049,-0.5702906999999999,-0.10722833,-0.056311405999999994,0.11936760000000002,11,1045309762,-0.10059465,-0.6891974000000001,0.086766,-0.7122918,-0.10891051,0.0036550515999999996,0.05247116
12,1045326429,0.3845295,-0.4873839,-0.53822017,-0.57001287,-0.10992255,-0.055294424,0.09768391,12,1045326429,-0.09971564,-0.68880594,0.08634674,-0.7128446999999999,-0.17797907,-0.14426287,0.005115509
13,1045343096,0.38544986,-0.48675618,-0.53850514,-0.5696581999999999,0.025265904,-0.063544735,0.07508278,13,1045343096,-0.09904536,-0.68847823,0.08604725,-0.7132908,-0.17453325,-0.23123929,-0.10418224
14,1045359763,0.38622734,-0.48614126,-0.5387389,-0.5694358,0.16456187,-0.063947506,0.090042114,14,1045359763,-0.09848011,-0.6882060999999999,0.0857679,-0.7136651999999999,-0.11483035,-0.18519747,-0.103723526
15,1045376430,0.3868528,-0.48560572,-0.5388343000000001,-0.5693778,0.13240819,-0.06882087,0.120770454,15,1045376430,-0.09794203,-0.68803,0.08541848,-0.71395093,-0.075570725,-0.07099615,-0.10525036
16,1045393097,0.3873439,-0.48518193,-0.53886783,-0.56937337,-0.010518966999999999,-0.037867452999999995,0.13711548,16,1045393097,-0.09747471,-0.68793386,0.08491063,-0.714168,-0.12690267,-0.0062731705,-0.026664734
17,1045409764,0.38778886,-0.48475516,-0.5390187,-0.5692914000000001,-0.09477396,-0.07681503,0.17917156,17,1045409764,-0.09705879,-0.68787277,0.08432939,-0.71435237,-0.16711569,-0.080975726,0.063316345
18,1045426431,0.38824198,-0.48422962,-0.53932905,-0.5691358,-0.042341175999999994,-0.06868218,0.17840576,18,1045426431,-0.09656637,-0.68787915,0.08374728,-0.7144814,-0.15410173,-0.06052133,0.053310394000000004
19,1045443098,0.38874075,-0.48359817,-0.5398337,-0.56885386,0.049090374000000006,-0.03808616,0.13455486,19,1045443098,-0.09604652,-0.68791914,0.08319034,-0.7145781,-0.12810227,-0.03807627,0.0043764114
20,1045459765,0.38928290000000004,-0.48293328,-0.5404215,-0.5684897,0.053677752999999995,-0.090782695,0.10562229,20,1045459765,-0.095425546,-0.6879655,0.082588375,-0.71468645,-0.055919185,-0.016827453,-0.063542366
21,1045476432,0.38975653,-0.48243225,-0.54082006,-0.56821144,0.09838548,-0.14803743,0.09747410000000001,21,1045476432,-0.094851844,-0.6880006999999999,0.08196228,-0.71480113,-0.12114796,0.04455848,-0.06461525
22,1045493099,0.3900867,-0.48216692,-0.54108363,-0.5679593000000001,0.11459241,-0.1383106,0.11195564,22,1045493099,-0.094357334,-0.6879927,0.08147745,-0.7149295999999999,-0.17962408,-0.08322561,-0.0019369125
23,1045509766,0.3903756,-0.48199266,-0.5411906999999999,-0.5678064,0.038673554,-0.07635482,0.09984875,23,1045509766,-0.09394884,-0.6879639,0.08119096,-0.7150438,-0.12919411,-0.088156864,-0.08885956
