sep=,
DeviceTag:,47,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.6.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.4,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2021-03-24 15:26:35.001 +0800,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2021,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 910126856, -0.22830454, -0.6949181, 0.25969657, -0.6304949, -0.10515754, -0.108403005, 0.07377148
2, 910143523, -0.22828776, -0.69481766, 0.2596529, -0.6306297, -0.104053944, -0.095068105, 0.10846901
3, 910160190, -0.22825933, -0.69470483, 0.25959852, -0.6307867, -0.08933807, -0.031846795, 0.13904476
4, 910176857, -0.22825629, -0.69453114, 0.25959662, -0.6309799, -0.1337857, -0.06603221, 0.07155514
5, 910193524, -0.22826238, -0.69443816, 0.25957173, -0.63109, -0.10917708, -0.0491486, 0.10326767
6, 910210191, -0.22829348, -0.6943813, 0.2595853, -0.63113576, -0.12768474, -0.029805677, 0.10098839
7, 910226858, -0.22827946, -0.6943326, 0.25957978, -0.6311967, -0.15682887, -0.06201166, 0.11212826
8, 910243525, -0.22820215, -0.69422555, 0.25951803, -0.6313679, -0.14234105, -0.029263433, 0.11535931
9, 910260192, -0.22821513, -0.69408333, 0.2594914, -0.6315304, -0.15733294, -0.094225354, 0.11063194
10, 910276859, -0.22820038, -0.69399256, 0.25946274, -0.63164735, -0.06697616, -0.0479005, 0.08859348
11, 910293526, -0.22826861, -0.69391006, 0.25951806, -0.6316906, -0.018128969, -0.045523778, 0.0878582
12, 910310193, -0.22828564, -0.69384533, 0.2595233, -0.63175344, -0.058625605, -0.1101939, 0.102519035
13, 910326860, -0.22834705, -0.69369704, 0.25958255, -0.63186973, -0.06568258, -0.07561868, 0.13214779
14, 910343527, -0.22839935, -0.69351727, 0.25962082, -0.6320323, -0.07492925, -0.03532164, 0.10737705
15, 910360194, -0.22835545, -0.6934196, 0.25961554, -0.6321575, -0.026597148, -0.020796092, 0.06948471
16, 910376861, -0.2282546, -0.6933565, 0.25955513, -0.6322879, -0.02112583, 0.009716108, 0.11119366
17, 910393528, -0.2282081, -0.693276, 0.25951156, -0.63241076, -0.040992107, -0.030216493, 0.111839294
18, 910410195, -0.22818075, -0.69318277, 0.2594912, -0.6325313, -0.10833528, -0.05876502, 0.09431839
19, 910426862, -0.22814435, -0.6930624, 0.2594646, -0.6326872, -0.113679975, -0.08023601, 0.123867035
20, 910443529, -0.22816256, -0.692835, 0.25944155, -0.63293904, -0.11324217, -0.033561476, 0.0957098
21, 910460196, -0.22811835, -0.6926702, 0.25938177, -0.6331598, -0.089661494, -0.065889046, 0.077521324
22, 910476863, -0.22808088, -0.69251937, 0.25933853, -0.63335615, -0.0786603, -0.07772898, 0.13828468
23, 910493530, -0.22806956, -0.6923361, 0.25931913, -0.6335685, -0.11624456, -0.032910496, 0.099383354
24, 910510197, -0.22816302, -0.6921412, 0.25937793, -0.6337237, -0.07899725, -0.04419745, 0.08851147
25, 910526864, -0.22821979, -0.6919632, 0.25940096, -0.63388807, -0.16465372, -0.039987028, 0.10430241
26, 910543531, -0.22824714, -0.6918861, 0.25943834, -0.633947, -0.09611063, -0.035204295, 0.07323074
27, 910560198, -0.22821993, -0.6918577, 0.25941762, -0.6339964, -0.08839429, -0.018864159, 0.10284519
28, 910576865, -0.22815412, -0.6917884, 0.25937423, -0.63411343, -0.07798244, -0.086703695, 0.09855461
29, 910593532, -0.22806886, -0.6917291, 0.25929195, -0.6342424, 0.009570713, -0.10331663, 0.08095646
30, 910610199, -0.22806318, -0.6916299, 0.2592934, -0.634352, -0.03240882, -0.042367663, 0.099767685
31, 910626866, -0.22810395, -0.6914625, 0.25929967, -0.63451725, -0.020259047, -0.063558035, 0.09231663
32, 910643533, -0.22811572, -0.6913437, 0.2593246, -0.63463235, -0.07202202, -0.048151508, 0.08456898
33, 910660200, -0.2280432, -0.691305, 0.2593418, -0.63469356, -0.033491183, -0.088640876, 0.09827995
34, 910676867, -0.22797383, -0.6912781, 0.25935218, -0.63474345, -0.09067742, -0.051363837, 0.13195992
35, 910693534, -0.2278947, -0.69122607, 0.25936064, -0.6348251, -0.077611804, -0.09877898, 0.09154987
36, 910710201, -0.22794417, -0.69109976, 0.25941023, -0.6349246, -0.093297884, -0.03373794, 0.12229729
37, 910726868, -0.22804256, -0.6909245, 0.25947985, -0.6350516, -0.06018198, 0.019294644, 0.07653427
38, 910743535, -0.22809759, -0.6908132, 0.25953653, -0.63512963, -0.048498847, -0.047044896, 0.08088875
39, 910760202, -0.22807649, -0.69076854, 0.2595803, -0.63516796, -0.014108809, -0.04941346, 0.10730934
40, 910776869, -0.22803196, -0.69068766, 0.25959283, -0.6352668, -0.0824299, -0.029670004, 0.104831696
41, 910793536, -0.22801799, -0.6905935, 0.259588, -0.63537616, -0.041727744, -0.03190614, 0.09511471
42, 910810203, -0.22798187, -0.69052726, 0.25957444, -0.6354666, -0.034588072, -0.036782634, 0.08993435
43, 910826870, -0.22801237, -0.6904478, 0.2595916, -0.63553494, -0.05864114, -0.052490678, 0.09671688
44, 910843537, -0.22800867, -0.69038415, 0.25961468, -0.6355961, -0.052189548, -0.08058022, 0.07384777
45, 910860204, -0.22794166, -0.6903773, 0.25965738, -0.6356101, -0.033044714, -0.06931438, 0.121071815
46, 910876871, -0.22786245, -0.69037575, 0.25969127, -0.6356264, -0.020692103, -0.039647065, 0.1253233
47, 910893538, -0.22790037, -0.69031847, 0.25978786, -0.63563555, -0.04375607, -0.0032028288, 0.10161781
48, 910910205, -0.22799705, -0.690205, 0.25985923, -0.6356949, -0.12331735, 0.04490945, 0.12521362
49, 910926872, -0.22803825, -0.69006217, 0.25988716, -0.6358238, -0.16535656, 0.008433032, 0.095173836
50, 910943539, -0.228105, -0.68992305, 0.2598975, -0.6359464, -0.19025987, -0.024161415, 0.11387253
