sep=,
DeviceTag:,46,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.6.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.4,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2021-03-24 15:26:35.002 +0800,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2021,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 910110189, 0.5873593, 0.07503624, -0.79865515, -0.10737185, 0.014197096, 0.003597078, 0.119540215
2, 910126856, 0.5874194, 0.07509499, -0.7986039, -0.10738346, 0.022180084, 0.018707, 0.10380268
3, 910143523, 0.5874707, 0.07510905, -0.79856014, -0.107417986, 0.020856887, 0.034984834, 0.1304779
4, 910160190, 0.58752215, 0.07513252, -0.798517, -0.10744085, 0.05206466, 0.027549788, 0.14873505
5, 910176857, 0.58757967, 0.075154975, -0.79847115, -0.10745079, 0.07186567, 0.033249088, 0.108986855
6, 910193524, 0.5876443, 0.075189754, -0.7984183, -0.10746768, 0.08333636, 0.008814904, 0.1409111
7, 910210191, 0.587725, 0.07522831, -0.79835534, -0.107467145, 0.070186645, 0.009455212, 0.15818024
8, 910226858, 0.5878148, 0.07525742, -0.7982834, -0.10748904, 0.06736189, 0.009372485, 0.11568546
9, 910243525, 0.58791107, 0.07528987, -0.798208, -0.107499294, 0.054031573, 0.01032018, 0.15475368
10, 910260192, 0.58801645, 0.07529462, -0.7981249, -0.10753689, 0.08365777, 0.04974742, 0.13724422
11, 910276859, 0.5881139, 0.0753088, -0.79804647, -0.10757663, 0.023444274, 0.019269694, 0.11510849
12, 910293526, 0.5882181, 0.07533842, -0.7979667, -0.10757703, 9.611633E-4, 0.016651902, 0.12539291
13, 910310193, 0.5883252, 0.07536871, -0.797886, -0.10756965, -0.022585984, 0.031073553, 0.11576271
14, 910326860, 0.58841825, 0.07535673, -0.79781514, -0.10759339, -0.016410768, 0.039989933, 0.121665
15, 910343527, 0.588494, 0.07532481, -0.79775566, -0.10764258, 0.010397376, -0.0054482957, 0.11178398
16, 910360194, 0.58856755, 0.0753685, -0.7976986, -0.10763303, -0.013598528, -0.016206058, 0.10244846
17, 910376861, 0.5886356, 0.0754473, -0.79764396, -0.10761007, 0.0067371274, -0.013375518, 0.12572002
18, 910393528, 0.5887056, 0.07552904, -0.7975913, -0.107560195, 0.01711394, 0.0026557809, 0.09039593
19, 910410195, 0.58877766, 0.07560347, -0.79753405, -0.10753872, 0.029312383, 0.0040803966, 0.14447594
20, 910426862, 0.58884126, 0.07562823, -0.7974847, -0.10753929, 0.05206958, 0.037114747, 0.13460732
21, 910443529, 0.58889985, 0.07564305, -0.7974342, -0.10758215, 0.047942635, 0.01367877, 0.124884605
22, 910460196, 0.58896387, 0.0756801, -0.79738456, -0.10757327, 0.05631677, 0.006602936, 0.12263298
23, 910476863, 0.58904344, 0.07567576, -0.7973261, -0.10757421, 0.03466194, 0.033462014, 0.14353752
24, 910493530, 0.58912086, 0.075643554, -0.7972667, -0.107613325, 0.029767456, 0.009225022, 0.12320137
25, 910510197, 0.58919233, 0.0756264, -0.7972101, -0.10765353, 0.060667228, 0.0051364116, 0.1329794
26, 910526864, 0.5892748, 0.07558615, -0.7971445, -0.10771603, 0.07430018, -0.005918986, 0.13424492
27, 910543531, 0.5893606, 0.0755614, -0.7970748, -0.107779965, 0.08398991, 0.0043149455, 0.13255024
28, 910560198, 0.5894461, 0.075540245, -0.79700786, -0.10782188, 0.027142072, 0.024676753, 0.1060276
29, 910576865, 0.5895424, 0.075548686, -0.79693335, -0.10784065, -0.017578112, 0.017534133, 0.1236887
30, 910593532, 0.5896309, 0.075565465, -0.79686683, -0.10783676, -0.028462587, 0.040435366, 0.11521435
31, 910610199, 0.58970237, 0.07556011, -0.7968107, -0.10786493, -0.034090195, 0.0318744, 0.11465931
32, 910626866, 0.5897729, 0.075561196, -0.796759, -0.10785955, 0.0010259245, -0.014031473, 0.12604332
33, 910643533, 0.5898472, 0.07557863, -0.79670554, -0.10783594, 0.035260957, 0.046043277, 0.1250763
34, 910660200, 0.5898966, 0.07554136, -0.7966701, -0.10785321, 0.01818099, 0.019342253, 0.13974285
35, 910676867, 0.5899674, 0.075530104, -0.79661834, -0.10785591, -0.0029231024, 0.024484867, 0.13882542
36, 910693534, 0.59002644, 0.07550861, -0.79657763, -0.10784907, 0.02899097, 0.034757942, 0.123187065
37, 910710201, 0.59007305, 0.07543023, -0.7965429, -0.107905924, 0.04819029, 0.008774001, 0.12719154
38, 910726868, 0.59012324, 0.07538729, -0.79650736, -0.10792383, 0.036292695, -0.030107446, 0.11561775
39, 910743535, 0.5901813, 0.07537158, -0.7964671, -0.10791437, 0.011967777, 0.011133851, 0.11279297
40, 910760202, 0.5902278, 0.07534422, -0.7964346, -0.10791899, -0.010539977, 0.00503421, 0.124287605
41, 910776869, 0.59028244, 0.075358175, -0.79639757, -0.10788316, 0.0014103667, -0.013459363, 0.13831234
42, 910793536, 0.59032947, 0.075341806, -0.796366, -0.10787068, 0.041260045, 0.0125567345, 0.10786629
43, 910810203, 0.590371, 0.07532186, -0.79633725, -0.1078699, 0.013521193, -0.004194528, 0.1303482
44, 910826870, 0.59041363, 0.07532208, -0.7963075, -0.10785532, 0.009265059, -0.006018338, 0.12544537
45, 910843537, 0.5904523, 0.075306185, -0.7962809, -0.10785119, 0.0047036065, 0.021853784, 0.09845734
46, 910860204, 0.59046715, 0.07527246, -0.7962731, -0.107851595, -0.037658826, 0.031532694, 0.11845875
47, 910876871, 0.5904818, 0.0752573, -0.7962647, -0.107844085, -0.013499289, 0.006780014, 0.13933468
48, 910893538, 0.5904811, 0.075255774, -0.7962664, -0.107836135, 0.005930693, -0.023808852, 0.12171936
49, 910910205, 0.590505, 0.075246446, -0.7962509, -0.10782576, 0.07253353, -0.021891696, 0.13144779
50, 910926872, 0.59054005, 0.075216606, -0.796224, -0.10785283, 0.13986726, -0.0146164065, 0.1403408
51, 910943539, 0.5905901, 0.07518966, -0.7961829, -0.10790168, 0.13052844, -0.021731494, 0.15197754
52, 910960206, 0.59064275, 0.07516564, -0.7961383, -0.107959524, 0.082961306, 0.025685383, 0.12635517
53, 910976873, 0.5906856, 0.07510509, -0.79609954, -0.10805301, 0.0034604275, 0.026451975, 0.121022224
54, 910993540, 0.5907351, 0.07506807, -0.79605496, -0.10813666, -0.045232765, -0.034164708, 0.13164139
55, 911010207, 0.5907746, 0.07505382, -0.79601794, -0.108203195, -0.04335794, -0.014587461, 0.109007835
56, 911026874, 0.59080434, 0.075026475, -0.7959892, -0.108271256, -0.036656573, 0.0250546, 0.118177414
57, 911043541, 0.59080684, 0.0750046, -0.79597956, -0.10834436, -0.02983138, -0.00759064, 0.12576008
58, 911060208, 0.5908048, 0.07500036, -0.79597414, -0.108396426, -0.026146099, 0.0051025213, 0.11198044
59, 911076875, 0.59078944, 0.074999616, -0.795976, -0.10846728, 0.013016948, 0.0081685325, 0.13426685
60, 911093542, 0.5907676, 0.07493185, -0.79598224, -0.108587496, 0.029653016, 0.0041896384, 0.115942955
61, 911110209, 0.5907367, 0.07489464, -0.795995, -0.1086872, -0.0022995013, -0.050601378, 0.13211823
62, 911126876, 0.59071857, 0.074898876, -0.79600227, -0.10873042, 0.0031993645, 0.0027779029, 0.123874664
63, 911143543, 0.59069496, 0.07491864, -0.7960121, -0.108772494, -0.0045256903, -0.007959631, 0.13030815
64, 911160210, 0.59067357, 0.07494309, -0.7960217, -0.10880256, 0.034887996, 0.020715864, 0.11973572
65, 911176877, 0.5906479, 0.074921116, -0.7960307, -0.10889113, 0.103789136, 0.009803502, 0.14113331
66, 911193544, 0.5906297, 0.07490667, -0.7960334, -0.10897928, 0.10425136, -0.018974015, 0.1324606
67, 911210211, 0.5906236, 0.07491611, -0.79602796, -0.109045565, 0.046125922, -0.016511014, 0.116662025
